#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-04-19T04:15:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e34e1332614	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/189&tab:{VII/189/table1}&key:source=VII/189/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/189/table1
#-order=I
#-out=Jname
#-out=s400
#-out=s600
#-out=s1400
#

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
Jname	s400	s600	s1400
0147+5922   	    6.60	    3.40	    2.10
0151-0635   	   38.00	   10.00	    1.30
0152-1637   	   20.00	   15.00	    1.50
0156+3949   	    4.00	    1.00	    0.00
0157+6212   	    6.50	    4.30	    1.90
0206-4028   	   11.00	    6.00	    1.00
0218+4232   	    0.00	    0.00	    0.00
0231+7026   	    2.40	    1.00	    0.30
0255-5304   	   17.00	    0.00	    3.00
0304+1932   	   27.00	   17.00	    3.00
0323+3944   	   34.00	    9.00	    0.90
0332+5434   	 1500.00	 1300.00	  203.00
0335+4555   	    6.00	    4.80	    0.80
0343+5312   	    3.70	    1.10	    0.30
0357+5236   	   12.00	    7.50	    1.90
0358+5413   	   46.00	   37.00	   23.00
0401-7608   	   19.00	    4.00	   14.00
0406+6138   	   15.00	    9.50	    2.80
0415+6954   	    6.40	    2.10	    0.50
0417+35     	    0.00	    0.00	    0.00
0421-0345   	    4.00	    0.00	    0.50
0435+27     	    0.00	    0.00	    0.00
0437-4715   	  600.00	    0.00	   90.00
0448-2757   	    2.70	    0.00	    1.20
0450-1248   	   11.00	    6.20	    0.90
0452-1759   	   82.00	   65.00	    5.30
0454+5543   	   59.00	   28.00	   13.00
0455-6947   	    0.60	    0.00	    0.00
0459-0210   	   11.00	    0.00	    0.50
0502+4654   	   10.80	    8.80	    2.50
0502-6625   	    1.00	    0.00	    0.00
0525+1115   	   19.50	    9.20	    1.60
0528+2200   	   57.00	   32.00	    9.00
0529-6655   	    0.00	    3.00	    0.00
0533+04     	    0.00	    0.00	    0.00
0534+2200   	  646.00	  211.00	   14.00
0536-7543   	   75.00	   70.00	   13.00
0538+2817   	    0.00	    0.00	    0.00
0540-6919   	    0.00	    0.40	    0.00
0543+2329   	   29.00	   26.00	    9.00
0600-5756   	    2.10	    0.00	    0.00
0601-0527   	   22.70	   10.80	    2.50
0612+3721   	   16.00	    8.00	    4.00
0613-0200   	   21.00	    0.00	    2.50
0614+2229   	   29.00	   12.80	    2.20
0624-0424   	    4.90	    4.40	    2.00
0625+10     	    0.00	    0.00	    0.00
0629+2415   	   31.00	   13.80	    3.20
0630-2834   	  206.00	  106.00	   23.00
0631+1036   	    1.50	    0.00	    0.80
0633+1746   	    0.00	    0.00	    0.00
0653+8051   	    6.50	    3.30	    0.40
0659+1414   	    6.50	    3.80	    3.70
0700+6418   	    5.00	    2.10	    0.30
0711-6830   	    7.00	    0.00	    0.80
0725-1637   	    4.00	    0.00	    0.60
0729-1836   	   11.20	    7.10	    1.30
0738-4042   	  190.00	    0.00	   80.00
0742-2822   	  296.00	  130.00	   23.00
0745-5351   	   23.00	   14.00	    0.00
0749-4247   	    8.00	    0.00	    0.60
0751+1807   	   10.00	    0.00	    1.00
0754+3231   	    8.00	    3.10	    0.60
0758-1528   	    8.20	    3.70	    2.00
0809-4753   	   46.00	   14.00	    3.00
0814+7429   	   79.00	   51.00	   10.00
0820-1350   	  102.00	   45.00	    7.00
0820-4114   	   65.00	   20.00	    9.00
0823+0159   	   30.00	   12.00	    1.50
0826+2637   	   73.00	   62.00	   10.00
0828-3417   	   16.00	    0.00	    0.00
0835-4510   	 5000.00	    0.00	 1100.00
0837+0610   	   89.00	   32.00	    4.00
0837-4135   	  197.00	    0.00	   25.00
0840-5332   	   19.00	    9.00	    2.00
0842-4851   	    6.20	    0.00	    0.00
0846-3533   	   16.00	    0.00	    4.00
0849+8028   	    1.50	    0.00	    0.00
0855-3331   	    7.70	    4.60	    0.60
0856-6137   	   11.00	    0.00	    0.00
0858-4419   	   14.00	    0.00	    1.30
0902-6325   	    4.50	    0.00	    0.00
0904-4246   	    8.00	    4.00	    0.00
0904-4546   	   13.00	    0.00	    0.40
0904-7459   	   11.00	   11.00	   14.00
0905-5127   	   12.00	    0.00	    1.70
0907-5157   	   35.00	   35.00	    9.00
0908-1739   	   16.00	   11.00	    3.20
0908-4913   	    0.00	   35.00	   16.00
0909-7212   	    6.50	    4.00	    0.00
0921+6254   	    5.00	    2.80	    0.50
0922+0638   	   52.00	   27.00	    4.20
0924-5302   	   12.00	    0.00	    1.00
0924-5814   	   22.00	    0.00	    0.00
0927+23     	    0.00	    0.00	    0.00
0934-5249   	   18.00	    0.00	    2.00
0941-5248   	   11.00	    0.00	    0.70
0942-5552   	   55.00	    0.00	    6.00
0942-5657   	   13.00	    0.00	    1.60
0943+1631   	    7.00	    5.00	    1.40
0943+22     	    5.50	    0.00	    0.00
0944-1354   	   26.00	    7.00	    0.60
0946+0951   	    4.00	    0.60	    0.00
0947+27     	    0.00	    0.00	    0.00
0952-3839   	    8.50	    0.00	    0.00
0953+0755   	  400.00	  403.00	   84.00
0955-5304   	   29.00	    0.00	    1.60
0959-4809   	   16.00	    0.00	    0.00
1001-5507   	   80.00	    0.00	    8.00
1003-4747   	    6.00	    0.00	    0.00
1007-6316   	    3.20	    0.00	    0.00
1012+5307   	   30.00	    0.00	    2.80
1012-2337   	    4.10	    1.30	    0.00
1012-5857   	    0.00	    7.00	    1.60
1016-5345   	    3.50	    0.00	    1.00
1017-5621   	   15.00	    0.00	    2.00
1018-1642   	    5.10	    2.60	    0.60
1022+10     	   23.00	    0.00	    2.30
1025-0709   	   10.00	    0.00	    0.00
1032-5910   	   14.00	    0.00	    0.70
1034-3224   	   41.00	    0.00	    4.70
1036-4926   	    9.00	    0.00	    0.00
1038-5831   	    0.00	    3.50	    1.30
1041-1942   	   28.00	   13.00	    4.00
1042-5521   	   14.00	    0.00	    0.00
1045-3033   	   13.00	    0.00	    0.00
1045-4509   	   20.00	    0.00	    3.00
1046-5813   	   18.00	    0.00	    1.00
1047-6711   	    7.20	    0.00	    4.00
1048-5832   	    0.00	   14.80	    8.00
1056-6258   	   45.00	   75.00	   24.00
1057-5226   	   80.00	    0.00	    0.00
1057-7914   	    6.50	    4.00	    0.00
1059-5742   	   19.00	   12.00	    2.00
1107-5947   	    7.00	    0.00	    0.80
1110-5637   	    0.00	    9.20	    2.90
1112-6613   	   19.00	   11.00	    0.00
1112-6926   	   13.00	    0.00	    0.00
1114-6100   	    0.00	    4.50	    5.00
1115+5030   	   12.00	    3.80	    3.00
1116-4122   	   26.00	   14.00	    3.00
1119-7936   	    7.00	    0.00	    0.00
1121-5444   	   24.00	    0.00	    0.00
1123-6256   	   13.00	    0.00	    0.00
1124-6652   	   14.00	    0.00	    0.50
1126-6054   	    0.00	    4.00	    1.20
1130-6815   	    8.60	    0.00	    0.00
1133-6250   	    0.00	   12.60	    8.00
1136+1551   	  257.00	  144.00	   32.00
1136-5525   	   23.00	   19.00	    4.00
1137-6659   	   10.00	    0.00	    1.10
1140-3107   	   10.00	    0.00	    0.00
1141-3321   	   10.00	    0.00	    0.00
1142-5203   	    7.00	    0.00	    0.30
1146-6030   	   17.00	   20.00	    7.00
1156-5909   	   14.00	    0.00	    0.00
1157-6224   	  145.00	    0.00	   10.00
1202-5820   	   23.00	    0.00	    2.00
1209-5556   	   23.00	    0.00	    2.10
1224-6407   	   48.00	    0.00	    5.00
1225-5600   	    5.00	    0.00	    0.40
1225-6408   	   11.00	    0.00	    1.20
1235-5517   	    4.50	    0.00	    1.00
1238+21     	    0.00	    0.00	    0.00
1239+2453   	  110.00	   47.00	   10.00
1239-6832   	    6.50	    0.00	    0.00
1240-4124   	    3.50	    0.00	    0.00
1243-6423   	  110.00	    0.00	   13.00
1246+22     	   29.00	    0.00	    0.00
1253-5819   	   20.00	    0.00	    6.90
1257-1027   	   12.00	    5.60	    1.20
1259-6741   	    4.50	    0.00	    0.00
1300+1240   	   20.00	    0.00	    1.00
1302-6350   	    0.00	    4.00	    4.60
1305-6455   	   29.00	   15.00	    2.00
1306-6617   	    0.00	   12.10	    5.00
1311-1228   	    4.00	    2.40	    0.50
1312+1810   	    1.00	    0.00	    0.00
1312-5402   	   15.00	    0.00	    0.00
1312-5516   	   16.00	   17.00	    0.00
1319-6056   	    0.00	    7.60	    1.50
1320-5359   	   18.00	   15.00	    0.00
1321+8323   	   11.00	    6.00	    0.90
1321-3509   	    7.00	    0.00	    0.00
1326-5859   	  120.00	   55.00	   10.00
1326-6408   	   18.00	    0.00	    1.60
1326-6700   	   28.00	    0.00	    0.00
1327-6222   	  135.00	    0.00	   12.00
1327-6301   	    0.00	   12.00	    3.40
1328-4357   	   18.00	    0.00	    2.00
1328-4921   	   11.00	    0.00	    0.00
1332-3033   	    3.00	    0.00	    0.00
1334-5839   	   18.00	    0.00	    1.20
1335-3642   	   10.00	    0.00	    0.00
1338-6204   	    0.00	    6.50	    6.00
1340-6456   	    9.00	    0.00	    1.10
1341-6220   	    0.00	    0.00	    2.00
1355-5153   	   12.00	    0.00	    0.00
1356-5521   	   12.00	    0.00	    1.50
1357-6228   	    0.00	    0.00	    6.00
1358-2533   	    6.00	    0.00	    0.00
1359-6038   	  105.00	    0.00	    7.00
1401-6357   	   34.00	   16.00	    4.00
1402-5124   	   10.00	    0.00	    0.00
1413-6307   	    0.00	    3.70	    2.10
1419-3920   	   24.00	    0.00	    1.40
1420-5416   	    9.00	    0.00	    0.00
1428-5530   	   35.00	   22.00	    2.00
1430-6623   	  130.00	    0.00	    6.00
1440-6344   	   21.00	    0.00	    1.60
1453-6413   	  230.00	    0.00	   16.00
1455-3330   	   13.00	    0.00	    0.00
1456-6843   	  350.00	    0.00	   80.00
1457-5122   	    4.00	    0.00	    0.00
1506-5158   	    5.00	    0.00	    0.00
1507-4352   	   16.00	    0.00	    0.00
1507-6640   	   13.00	    0.00	    0.00
1509+5531   	  114.00	   37.00	    8.00
1510-4422   	   14.00	    0.00	    0.00
1512-5759   	    0.00	   11.80	    4.00
1513-5908   	    1.50	    0.00	    1.40
1514-4834   	    8.50	    0.00	    0.00
1518+0204B  	    0.50	    0.00	    0.00
1518+0205A  	    0.90	    0.00	    0.00
1518+4904   	    0.00	    0.00	    0.00
1522-5829   	    0.00	   12.40	    6.00
1527-3931   	   11.00	    0.00	    0.00
1527-5552   	   17.00	    0.00	    1.40
1532+2745   	   13.00	    6.00	    0.80
1534-5334   	   70.00	    0.00	    3.00
1534-5405   	    0.00	    6.60	    1.30
1537+1155   	   36.00	    0.00	    0.00
1539-5626   	    0.00	    7.30	    6.00
1542-5034   	   21.00	    0.00	    1.30
1543+0929   	   78.00	   32.00	    5.90
1543-0620   	   40.00	   11.00	    2.00
1544-5308   	   23.00	    0.00	    8.00
1549+2110   	    0.00	    0.00	    0.00
1549-4848   	   17.00	    0.00	    1.90
1553-5456   	   13.00	    0.00	    1.00
1555-2341   	    7.60	    4.90	    0.90
1555-3134   	   19.00	   13.00	    1.40
1556-4258   	   40.00	    0.00	    5.10
1559-4438   	  110.00	    0.00	   40.00
1559-5545   	   15.00	    0.00	    1.10
1600-5044   	    0.00	    0.00	   15.00
1600-5751   	   20.00	    0.00	    3.00
1602-5100   	   45.00	    0.00	    6.00
1603-2531   	   15.00	    0.00	    0.00
1603-2712   	   20.00	   12.40	    1.70
1604-4909   	   44.00	    0.00	    4.00
1605-5257   	   30.00	   29.00	   10.00
1607-0032   	   54.00	   26.00	    5.00
1610-1322   	   16.00	    7.00	    0.00
1611-5209   	    0.00	    2.70	    1.30
1613-4714   	   17.00	    0.00	    1.80
1614+0737   	    9.60	    2.90	    0.60
1614-5047   	    0.00	    0.00	    2.50
1615-2940   	    3.10	    2.20	    0.00
1615-3936   	   12.00	    0.00	    0.00
1615-5537   	    0.00	    3.40	    0.40
1622-4334   	   13.00	    0.00	    0.00
1623-0908   	    6.00	    3.40	    0.60
1623-2631   	   15.00	    5.00	    1.10
1623-4256   	   24.00	    0.00	    2.20
1625-4050   	   17.00	    0.00	    0.00
1627+1419   	    0.00	    0.00	    0.00
1630-4733   	    0.00	    0.00	    4.40
1633-4453   	    0.00	    4.00	    2.00
1633-5015   	    0.00	   25.30	    6.00
1635+2418   	    9.10	    3.40	    0.40
1635-5954   	    7.00	    0.00	    0.00
1637-4553   	    0.00	    1.60	    1.40
1639-4604   	    0.00	    4.70	    1.20
1640+2224   	    0.00	    0.00	    0.00
1640-4715   	    0.00	    0.00	    1.30
1641+3627A  	    3.00	    0.00	    0.00
1641+3627B  	    0.00	    0.00	    0.00
1643-1224   	   75.00	    0.00	    3.10
1644-4559   	  375.00	    0.00	  310.00
1645+1012   	    0.00	    0.00	    0.00
1645-0317   	  393.00	  173.00	   21.00
1646-4346   	    0.00	    0.00	    1.40
1646-6831   	   23.00	   12.00	    2.00
1648-3256   	   11.00	    0.00	    1.00
1649+2533   	    0.00	    0.00	    0.00
1650-1654   	   13.00	    0.00	    1.60
1651-1709   	    9.00	    4.20	    0.30
1651-4246   	  100.00	    0.00	   10.00
1651-5222   	   23.00	    0.00	    2.00
1651-5255   	   12.00	    0.00	    0.00
1652+2651   	    0.00	    0.00	    0.00
1652-2404   	    9.20	    4.90	    1.10
1653-3838   	    0.00	    3.30	    2.10
1654-2707   	    7.00	    0.00	    0.00
1659-1305   	    6.30	    3.20	    0.00
1700-3310   	   21.00	    0.00	    0.00
1701-3726   	    0.00	   13.00	    2.40
1701-4533   	    0.00	    5.00	    2.30
1703-1846   	   11.00	    9.00	    0.70
1703-3241   	   32.00	    9.30	    6.00
1703-4902   	   22.00	    0.00	    0.00
1704-6016   	   23.00	   24.00	    0.00
1705-1906   	   29.00	   15.00	    8.00
1705-3422   	   31.00	    0.00	    0.00
1707-4053   	    0.00	    5.40	    9.00
1708-7539   	    2.50	    0.00	    0.00
1709-1640   	   47.00	   20.00	    4.00
1709-3421   	   36.00	    0.00	    2.40
1709-4428   	    0.00	   13.30	   10.00
1711-1509   	    5.90	    2.80	    0.70
1711-5350   	    9.00	    0.00	    0.00
1713+0747   	   36.00	    0.00	    3.00
1717-3425   	    0.00	    3.00	    2.40
1717-4054   	    0.00	    0.00	    1.00
1719-4006   	    0.00	    4.00	    1.50
1720+2150   	    0.00	    0.00	    0.00
1720-0212   	   22.00	   13.10	    1.00
1720-1633   	   13.00	    6.20	    1.10
1720-2933   	   32.00	   13.00	    1.90
1721-1936   	    0.50	    0.00	    0.30
1721-3532   	    0.00	    0.00	   10.00
1722-3207   	   61.00	   27.00	    3.70
1722-3632   	    0.00	    3.60	    2.00
1722-3712   	   25.00	    0.00	    2.00
1728-0007   	   11.00	    4.10	    0.00
1730-2304   	   43.00	    0.00	    4.70
1730-3350   	    9.20	    0.00	    2.90
1731-4744   	  190.00	    0.00	   12.00
1732-4128   	    9.00	    0.00	    0.00
1733-2228   	   25.00	   14.00	    2.20
1733-3716   	    0.00	    3.20	    2.60
1734-0212   	    5.70	    0.00	    0.00
1735-0724   	   18.00	   13.90	    1.70
1736+05     	    0.00	    0.00	    0.00
1737-3555   	    0.00	    2.00	    0.50
1738-3211   	    2.90	    3.10	    1.60
1739-2903   	    0.00	    6.00	    2.00
1739-3131   	    0.00	    2.10	    4.50
1740+1311   	   24.00	   14.00	    3.90
1740-3015   	   24.60	   18.00	    6.00
1741+2758   	    0.00	    0.00	    0.00
1741-0840   	   29.00	   18.00	    1.40
1741-3927   	   35.00	   30.00	    3.50
1742+27     	    0.00	    0.00	    0.00
1743-0337   	    3.10	    2.00	    0.50
1743-1351   	    6.10	    3.70	    0.50
1743-3150   	    6.60	   12.00	    2.40
1744-2334   	   19.00	    0.00	    1.90
1745-3040   	   66.00	   51.00	   14.00
1746+2540   	    0.00	    0.00	    0.00
1748-1300   	   23.00	    7.70	    2.00
1748-2021   	   10.00	    0.00	    1.45
1748-2446A  	    0.00	    5.00	    2.50
1748-2446B  	    0.00	    0.00	    0.30
1749-3002   	   12.70	    7.00	    3.50
1749-5605   	    3.00	    0.00	    0.00
1750-3157   	    0.00	    4.00	    1.40
1750-3506   	   29.00	    0.00	    1.40
1751-4657   	   70.00	    0.00	   10.00
1752+2359   	    0.00	    0.00	    0.00
1752-2806   	 1100.00	  335.00	   36.00
1753-2502   	    0.00	    0.00	    1.60
1754+5201   	    4.90	    2.00	    1.60
1756-2435   	    8.40	    3.20	    1.90
1757-2421   	   20.00	   18.10	    7.10
1758+30     	    0.00	    0.00	    0.00
1759-2205   	   20.00	   11.00	    2.60
1759-2922   	   16.00	    0.00	    0.80
1800-2343   	    4.00	    0.00	    0.00
1801-0357   	   17.00	    5.50	    0.70
1801-2306   	    0.00	    0.00	    5.70
1801-2451   	    7.80	    2.30	    0.70
1801-2920   	    0.00	   13.20	    2.80
1803-2137   	   23.00	   18.20	   14.60
1803-2712   	    3.40	    2.40	    0.90
1804-0735   	    3.10	    1.00	    0.60
1804-2718   	   16.00	    0.00	    0.00
1805+0306   	    5.00	    0.00	    0.00
1807+07     	    0.00	    0.00	    0.00
1807-0847   	   65.00	   54.00	   16.00
1807-1200   	    4.00	    0.00	    0.00
1807-2715   	   25.00	    7.40	    0.60
1808+00     	    0.00	    0.00	    0.00
1808-0813   	   28.00	    0.00	    2.00
1808-2057   	    0.00	    8.10	    2.00
1809-2109   	    0.00	    6.00	    1.90
1809-3547   	   24.00	    0.00	    0.00
1810-5338   	   12.00	   18.00	    0.00
1811+0702   	    0.00	    0.00	    0.00
1812+0226   	    3.80	    2.30	    0.30
1812-1718   	    0.00	    0.00	    2.00
1812-1733   	    0.00	    0.00	    2.00
1813+4013   	    8.00	    6.40	    1.10
1816-1729   	    0.00	    2.90	    1.40
1816-2649   	   18.00	   10.50	    0.00
1817-2312   	    4.00	    0.00	    0.00
1817-3618   	   22.00	   11.00	    2.00
1818-1422   	    0.00	    2.50	    7.40
1820-0427   	  157.00	   65.00	    8.00
1820-1346   	    0.00	    1.00	    3.30
1820-1818   	    0.00	    2.90	    1.10
1821+17     	    0.00	    0.00	    0.00
1822+0705   	    0.00	    0.00	    0.00
1822-1400   	    0.00	    1.50	    0.80
1822-2256   	   25.00	   14.00	    3.20
1822-4210   	    7.00	    0.00	    1.50
1823+0550   	   18.00	   13.00	    1.70
1823-0154   	   13.00	    0.00	    0.80
1823-1115   	   11.00	   13.20	    3.80
1823-3021A  	   49.00	    9.00	    0.40
1823-3021B  	    2.20	    1.00	    0.07
1823-3106   	   36.00	   17.00	    2.50
1824-1118   	    0.00	    8.00	    2.40
1824-1945   	   71.00	   36.00	    6.10
1824-2452   	   40.00	    0.00	    1.80
1825+0004   	    8.00	    3.50	    0.40
1825-0935   	   36.00	   19.00	   11.00
1825-1446   	    0.00	    1.40	    2.40
1826-1131   	    5.00	    8.30	    1.10
1826-1334   	    0.00	    1.80	    4.30
1827-0958   	    0.00	    1.70	    1.90
1829-1751   	   78.00	   53.00	   10.30
1830-1059   	    2.10	    1.30	    1.00
1832-0827   	    9.40	    9.10	    4.10
1832-1021   	    3.40	    1.50	    0.60
1833-0338   	   89.00	   35.30	    2.80
1833-0827   	    0.00	    6.30	    4.70
1833-6023   	    5.50	    0.00	    0.00
1834+10     	    0.00	    0.00	    0.00
1834-0010   	    5.10	    2.80	    0.00
1834-0426   	   77.00	   46.00	   15.00
1835-0643   	    0.00	    3.00	    2.60
1835-1106   	   30.00	    0.00	    4.10
1836-0436   	    0.00	    6.00	    1.40
1836-1008   	   54.00	   27.00	    5.00
1837-0048   	   10.00	    0.00	    0.40
1837-0653   	    0.00	    9.00	    3.10
1840+5640   	   21.00	   14.00	    4.00
1841+0912   	   20.00	    9.90	    1.70
1841-0425   	    2.60	    3.00	    2.30
1842-0359   	   18.70	   31.00	    8.50
1843+20     	    0.00	    0.00	    0.00
1844+00     	    0.00	    0.00	    0.00
1844+1454   	   20.00	    8.60	    1.50
1844-0244   	    0.00	    1.50	    1.00
1844-0433   	    8.10	    5.60	    1.30
1844-0538   	    0.00	    2.50	    2.30
1845-0434   	    0.00	    2.20	    2.60
1847-0402   	   75.00	   28.20	    4.80
1848+0651   	    0.00	    0.00	    0.00
1848+0826   	    2.80	    0.00	    0.00
1848-0123   	   79.00	   45.00	   10.00
1848-1414   	   13.00	    0.00	    0.00
1848-1952   	   17.00	    7.00	    0.00
1849-0636   	   26.00	   10.50	    1.60
1850+1335   	    6.00	    4.40	    1.40
1851+0418   	    0.00	    5.40	    1.00
1851+1259   	    8.00	    2.10	    0.50
1852+0031   	    0.00	    0.00	    5.20
1852-2610   	   12.00	    0.00	    1.40
1854+1051   	   11.00	    0.00	    0.00
1854-1421   	    8.00	    6.00	    0.00
1856+0113   	    3.40	    4.70	    1.20
1857+0057   	    5.00	    0.00	    1.50
1857+0212   	    0.00	    9.00	    2.20
1857+0943   	   31.00	    0.00	    4.00
1859+00     	    0.00	    0.00	    0.00
1859+1526   	    1.50	    0.00	    0.00
1900+30     	    0.00	    0.00	    0.00
1900-2600   	  131.00	   73.00	   13.00
1900-7951   	    6.50	    5.00	    0.00
1901+00     	    0.00	    0.00	    0.00
1901+0156   	   13.70	    4.20	    0.00
1901+0331   	  165.00	   47.00	    3.20
1901+0716   	    3.90	    5.00	    2.10
1901+1306   	    0.60	    0.00	    0.00
1901-0907   	   12.00	    0.00	    3.10
1902+0556   	   15.00	   10.20	    2.30
1902+0615   	   22.00	   11.60	    2.00
1902+0723   	    0.60	    0.00	    0.00
1903+0135   	   58.00	   31.00	    2.00
1903+2225   	    0.80	    0.00	    0.00
1903-0632   	   23.00	   11.30	    0.00
1904+0004   	   16.00	    0.00	    2.20
1904+1005   	    2.00	    0.00	    0.00
1904-1224   	   10.00	    0.00	    0.00
1905+0709   	    0.00	    5.50	    1.90
1905-0056   	    9.80	    5.20	    0.80
1906+0641   	    2.80	    1.50	    2.60
1906+1854   	    4.60	    0.00	    0.00
1907+1247   	    2.00	    0.00	    0.00
1907+4002   	   23.00	   13.00	    1.80
1908+0457   	    0.00	    0.00	    0.00
1908+0500   	    6.10	    0.00	    0.00
1908+0734   	    3.50	    0.00	    0.00
1908+0916   	    5.00	    0.00	    0.00
1909+0007   	   12.00	    7.30	    0.80
1909+0254   	   21.00	    6.10	    0.70
1909+1102   	   50.00	   17.50	    2.20
1909+1450   	    1.10	    0.00	    0.00
1909+1859   	    5.40	    0.00	    0.00
1910+0004   	    0.00	    0.00	    0.00
1910+0358   	   21.00	   16.00	    0.00
1910+0714   	    5.40	    0.00	    0.00
1910+1231   	    5.00	    0.00	    0.00
1910-0309   	   27.00	    5.80	    0.80
1911+1758   	    1.90	    0.00	    0.00
1912+1035   	    2.00	    0.00	    0.00
1912+2104   	    6.00	    3.30	    0.80
1912+2525   	    1.60	    0.00	    0.00
1913+0935   	    3.00	    0.00	    0.00
1913+1400   	    5.20	    4.30	    1.20
1913-0440   	  118.00	   44.00	    4.40
1914+1122   	    1.10	    0.90	    0.00
1915+07     	    0.00	    0.00	    0.00
1915+0738   	    1.90	    0.00	    0.00
1915+1009   	   23.00	   10.00	    2.00
1915+1606   	    4.00	    3.00	    0.70
1915+1647   	    4.50	    2.50	    0.00
1916+07     	    0.00	    0.00	    0.00
1916+0951   	   20.00	    5.60	    1.00
1916+1030   	    0.00	    0.00	    0.50
1916+1312   	   12.00	    8.40	    1.90
1917+1353   	   43.00	   23.00	    3.90
1917+2224   	    3.00	    0.00	    0.00
1918+1444   	    1.60	    1.60	    1.40
1918+1541   	    0.80	    0.00	    0.00
1919+0021   	   16.00	    6.70	    0.80
1920+2650   	    6.00	    1.90	    0.00
1921+1419   	    3.20	    3.20	    1.00
1921+1948   	   34.00	   13.10	    1.70
1921+2006   	    1.00	    0.00	    0.00
1921+2153   	   57.00	   73.00	    6.00
1922+2018   	    3.80	    1.40	    0.00
1922+2110   	   30.00	   14.00	    1.40
1923+1706   	    2.00	    0.00	    0.00
1924+2040   	    4.00	    0.00	    0.00
1926+0431   	   22.00	    7.00	    0.00
1926+1434   	    9.00	    1.60	    0.20
1926+1648   	    8.00	    3.70	    1.30
