#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-04-19T03:43:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e2ebd31d5ee	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/474/4629&tab:{J/MNRAS/474/4629/table2}&key:source=J/MNRAS/474/4629&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/474/4629/table2
#-order=I
#-out=Name
#-out=S1.4
#

#RESOURCE=yCat_74744629
#Name: J/MNRAS/474/4629
#Title: Polarimetry of 600 pulsars from 1.4GHz obs. (Johnston+, 2018)
#Table	J_MNRAS_474_4629_table2:
#Name: J/MNRAS/474/4629/table2
#Title: Pulsar polarization properties at 1.4 GHz
#Column	Name	(A10)	Name, JHHMM+DDMM	[ucd=meta.id;meta.main]
#Column	S1.4	(F7.2)	? Flux density at 1.4GHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
Name	S1.4
J1016-5819	   0.37
J1016-5857	   0.90
J1017-5621	   1.75
J1018-1642	   0.33
J1019-5749	   4.84
J1020-5921	   0.20
J1028-5819	   0.19
J1032-5911	   0.89
J1034-3224	   5.70
J1036-4926	   0.69
J1036-6559	   0.28
J1038-5831	   1.56
J1041-1942	   1.34
J1043-6116	   1.41
J1046-5813	   1.64
J1047-3032	   1.12
J1047-6709	   2.96
J1048-5832	   9.71
J1049-5833	   0.65
J1052-5954	   0.20
J1054-5946	   0.18
J1055-6022	   0.24
J1055-6028	   0.95
J1055-6905	   0.30
J1056-6258	  28.07
J1057-5226	   8.57
J1057-7914	   0.59
J1058-5957	   0.63
J1059-5742	   2.17
J1105-43  	   0.06
J1105-6107	   1.40
J1107-5947	   0.35
J1110-5637	   2.47
J1112-6103	   2.82
J1112-6613	   1.81
J1112-6926	   0.92
J1114-6100	   4.80
J1115-6052	   0.42
J1116-4122	   5.04
J1117-6154	   1.66
J1119-6127	   1.03
J1119-7936	   0.65
J1121-5444	   1.22
J1123-4844	   2.61
J1123-6102	   0.96
J1123-6259	   0.46
J1123-6651	   0.64
J1126-6054	   1.43
J1126-6942	   0.32
J1133-6250	   7.37
J1136+1551	  87.96
J1136-5525	   5.34
J1137-6700	   1.47
J1138-6207	   0.75
J1141-3107	   0.78
J1141-3322	   2.04
J1143-5158	   0.30
J1143-5536	   0.23
J1146-6030	   5.00
J1156-5707	   0.23
J1157-6224	  14.34
J1159-7910	   0.57
J1202-5820	   3.20
J1204-6843	   0.49
J1210-5559	   2.42
J1215-5328	   0.47
J1216-6223	   0.23
J1224-6407	   9.50
J1225-5556	   0.28
J1225-6408	   1.75
J1231-4609	   1.68
J1231-6303	
J1236-5033	   0.59
J1237-6725	   0.39
J1239+2453	  23.25
J1239-6832	
J1240-4124	   0.57
J1243-6423	  34.25
J1244-5053	   0.20
J1251-7407	   0.20
J1253-5820	   4.10
J1259-6741	
J1301-6305	   0.60
J1302-6350	   3.84
J1305-6203	   0.68
J1305-6455	   2.09
J1306-6617	   4.95
J1317-6302	   1.58
J1319-6056	   1.29
J1320-3512	   4.68
J1320-5359	   2.11
J1326-5859	  18.02
J1326-6408	   1.95
J1326-6700	  13.60
J1327-6222	  20.96
J1327-6301	   4.19
J1327-6400	   0.21
J1328-4357	   4.40
J1331-5245	   0.30
J1333-4449	   0.26
J1338-6204	   5.91
J1339-4712	   0.72
J1340-6456	   0.93
J1341-6220	   2.82
J1346-4918	   0.51
J1349-6130	   0.75
J1352-6803	   1.04
J1356-5521	   0.95
J1357-62  	  13.25
J1357-6429	   0.60
J1359-6038	  12.89
J1401-6357	   7.13
J1403-7646	   0.80
J1406-6121	   0.48
J1409-6953	   0.36
J1410-6132	   2.64
J1410-7404	   1.19
J1412-6145	   0.67
J1413-6141	   0.89
J1413-6307	   1.17
J1415-6621	   0.46
J1416-5033	   0.12
J1418-3921	   0.99
J1420-6048	   1.30
J1424-5822	   1.33
J1427-4158	   0.33
J1428-5530	   6.47
J1430-6623	  16.34
J1432-5032	   0.30
J1435-5954	   1.56
J1443-5122	   0.63
J1452-5851	   0.30
J1452-6036	   1.85
J1453-6413	  19.63
J1456-6843	  64.17
J1507-4352	   0.95
J1507-6640	   0.63
J1509-5850	   0.23
J1512-5759	   8.00
J1513-5908	   1.62
J1514-4834	   1.33
J1514-5925	   0.30
J1515-5720	   0.23
J1517-4356	   0.53
J1517-4636	   0.27
J1522-5829	   6.02
J1524-5625	   1.37
J1524-5706	   0.43
J1528-3146	   0.44
J1528-4109	   0.56
J1530-5327	   0.89
J1530-63  	   0.45
J1531-4012	   0.43
J1531-5610	   0.81
J1534-4428	   0.68
J1534-5334	   6.79
J1534-5405	   1.40
J1535-4114	   2.92
J1536-3602	   1.90
J1536-5433	   1.79
J1538-5551	   0.39
J1539-4828	   0.18
J1539-5626	   5.07
J1541-5535	   0.28
J1542-5034	   0.33
J1543-0620	
J1543-5459	   0.82
J1544-5308	   5.01
J1548-5607	   1.43
J1549-4848	   1.61
J1551-4424	   0.97
J1551-5310	   0.83
J1552-62  	   0.35
J1553-5456	   0.87
J1555-3134	   3.79
J1557-4258	   2.67
J1559-4438	  37.11
J1600-5044	  21.39
J1600-5751	   2.61
J1601-5335	   0.21
J1602-5100	   6.97
J1603-2712	
J1603-3539	   0.87
J1603-5657	   0.93
J1604-4909	   6.08
J1605-5257	  20.98
J1607-0032	   1.69
J1609-1930	   0.30
J1611-5209	   1.57
J1612-2408	   0.51
J1612-5805	   0.34
J1613-4714	   1.42
J1614-38  	   0.23
J1614-3937	   0.70
J1614-5048	   4.04
J1615-5537	   0.83
J1617-5055	   0.40
J1618-4723	   1.07
J1622-3751	   0.23
J1623-4256	   2.68
J1625-4913	   0.25
J1626-4537	   1.21
J1626-4807	   0.53
J1626-6621	   0.19
J1627-4706	   0.19
J1627-5936	   1.58
J1628-4804	   1.17
J1629-3636	   0.17
J1630-4733	   9.92
J1632-4621	   0.85
J1632-4757	   0.57
J1632-4818	   0.49
J1633-4453	   2.62
J1633-5015	   7.61
J1634-5640	   0.31
J1635-1511	   0.54
J1635-5954	   1.78
J1636-4440	   0.33
J1637-4553	   1.73
J1637-4642	   0.94
J1638-4417	   0.29
J1638-4608	   0.44
J1639-4604	   0.96
J1640-4715	   1.55
J1641-2347	   1.89
J1643-4505	   0.41
J1644-4559	 326.27
J1645-0317	  11.36
J1646-4346	   1.27
J1646-6831	   4.89
J1647-3607	   0.16
J1648-3256	   0.65
J1648-4611	   0.64
J1648-6044	   0.72
J1649-3805	   1.64
J1649-4653	   0.33
J1649-5553	   1.36
J1650-1654	   1.06
J1650-4502	   0.63
J1650-4921	   0.27
J1651-4246	  21.39
J1651-5222	   4.13
J1651-5255	   3.30
J1651-7642	   0.70
J1652-1400	   0.42
J1652-2404	   1.57
J1653-3838	   2.03
J1653-4249	   1.51
J1654-2713	   0.28
J1655-3048	   2.22
J1658-4958	   1.54
J1700-3312	   1.77
J1700-3611	   0.78
J1700-4422	   0.26
J1701-3726	   3.91
J1701-4533	   3.10
J1702-4128	   1.29
J1702-4306	   0.42
J1702-4310	   0.93
J1703-3241	   8.63
J1703-4851	   1.41
J1705-1906	   9.10
J1705-3423	   5.29
J1705-3950	   1.58
J1705-4108	
J1705-4331	   0.43
J1705-52  	   0.62
J1705-6135	   0.43
J1707-4053	  10.24
J1707-4729	   2.43
J1708-3426	   2.01
J1709-1640	  11.55
J1709-4401	   0.80
J1709-4429	  11.73
J1710-2616	   0.92
J1714-1054	   0.45
J1715-3903	   0.66
J1715-4034	   2.21
J1716-4005	   1.40
J1716-4711	   0.30
J1717-3425	   3.86
J1717-3953	   1.47
J1717-4054	   1.07
J1717-5800	   0.52
J1718-3718	   0.52
J1718-3825	   1.99
J1719-4006	   1.37
J1720-2933	   2.18
J1721-3532	  17.51
J1722-3207	   5.43
J1722-3632	   2.73
J1722-3712	   3.46
J1723-3659	   2.02
J1726-3530	   0.49
J1727-2739	   1.70
J1728-4028	   1.23
J1730-3350	   4.69
J1731-4744	  29.20
J1732-4128	   1.12
J1733-2228	   4.02
J1733-3716	   3.48
J1733-5515	   0.33
J1734-3333	   0.77
J1735-0724	   2.32
J1735-3258	   0.50
J1737-3137	   0.94
J1737-3555	   1.04
J1738-2955	   0.20
J1738-3211	   2.36
J1739+0612	   0.76
J1739-1313	   0.86
J1739-2903	   4.29
J1739-3023	   0.86
J1739-3131	   6.17
J1739-3159	   1.40
J1740+1000	   0.95
J1740+1311	   2.12
J1740-3015	   7.91
J1741-0840	
J1741-2733	   1.76
J1741-3016	   2.04
J1741-3927	   5.46
J1742-4616	   1.48
J1743-3150	   2.12
J1743-3153	   0.64
J1743-4212	   1.79
J1744-5337	   0.38
J1745-3040	  19.86
J1745-3812	   0.26
J1749-3002	   4.11
J1749-4931	   0.11
J1750-3157	   1.71
J1751-3323	   1.88
J1751-4657	   6.59
J1752-2806	  47.80
J1757-2223	   0.85
J1757-2421	   6.83
J1759-2302	   1.28
J1801-2154	   0.22
J1801-2304	   7.67
J1801-2451	   1.58
J1801-2920	   2.61
J1802-3346	   0.24
J1803-2137	  15.65
J1803-2712	   1.16
J1805-0619	   0.85
J1805-1504	   4.19
J1805-2948	   0.16
J1806-1154	   2.66
J1806-1920	   1.35
J1806-2125	   0.83
J1807-0847	  18.25
J1807-2715	
J1808-0813	   1.58
J1808-3249	   1.70
J1809-0743	   0.29
J1809-1917	   2.81
J1811-0154	   0.67
J1811-4930	   0.40
J1812-1718	   1.15
J1812-1733	   4.85
J1812-2102	   1.45
J1814-1649	   1.33
J1815-1738	   0.44
J1816-1729	   1.33
J1816-2650	   2.48
J1817-3618	   3.17
J1817-3837	   3.06
J1818-1422	   9.61
J1819+1305	   1.07
J1820-0427	   9.27
J1820-1529	   0.90
J1820-1818	   1.56
J1822-2256	   3.78
J1822-4209	   0.93
J1823-3106	   5.61
J1824-1945	   7.38
J1825-0935	  10.20
J1825-1446	   3.17
J1826-1334	   4.81
J1827-0750	   2.90
J1827-0958	   2.21
J1828-0611	   1.54
J1828-1057	   0.35
J1828-1101	   3.54
J1829-1751	  10.96
J1830-1059	   1.31
J1831-0823	   0.96
J1831-0952	   0.52
J1831-1223	   1.20
J1832-0827	   3.59
J1832-1021	   1.89
J1833-0338	
J1833-0827	   6.66
J1834-0731	   1.44
J1834-1710	   0.71
J1835-0643	   2.70
J1835-0944	   0.58
J1835-1020	   1.89
J1835-1106	   2.53
J1836-0436	   2.01
J1836-1008	   5.30
J1837-0045	   0.51
J1837-0559	   0.55
J1837-0604	   0.98
J1837-0653	   3.47
J1837+1221	   0.47
J1837-1837	   0.44
J1838-0453	   0.41
J1838-0549	   0.33
J1839-0321	   0.22
J1839-0643	   1.62
J1839-0905	   0.20
J1840-0809	   2.54
J1840-0815	   1.85
J1841-0345	   1.28
J1841-0425	   3.20
J1841-0524	   0.22
J1841-7845	   0.39
J1842-0359	   0.01
J1842-0905	   0.94
J1842+1332	   1.07
J1843-0000	   3.81
J1843-0355	   0.89
J1843-0459	   1.91
J1843-0702	   0.29
J1844-0244	   1.15
J1844-0256	   0.66
J1844-0538	   3.00
J1844+1454	   1.83
J1845-0434	   2.57
J1845-0743	   3.71
J1846-4249	   0.24
J1846-7403	   2.90
J1847-0402	   4.73
J1848-0123	  15.22
J1848-1414	   0.58
J1850+0026	   1.50
J1850+1335	   0.81
J1851-0053	   0.80
J1852+0031	   5.13
J1852-0635	   9.51
J1852-2610	   1.36
J1853-0004	   0.88
J1853+0011	   0.19
J1853+0545	   2.71
J1855-0941	   0.89
J1900-2600	  14.96
J1901+0413	   1.19
J1901-0906	   3.55
J1901-1740	   0.35
J1902+0615	   1.59
J1904+0004	   2.91
J1904-1224	   0.35
J1905-0056	   0.74
J1905+0709	   1.85
J1906+0641	   2.77
J1907+0918	   0.21
J1909+0912	   0.44
J1909+1102	   3.21
J1913-0440	   6.73
J1913+0832	   0.87
J1913+0904	   0.40
J1913+1011	   0.90
J1914+0219	   1.57
J1915+1009	   2.05
J1916+0951	   1.56
J1917+1353	   6.76
J1919+0134	   2.10
J1921+2153	  18.83
J1932+1059	  28.67
J1932+2020	
J1932-3655	   0.72
J1935+1616	  57.77
J1935+2025	   0.50
J1937+2544	   1.45
J1941-2602	   1.95
J1943+0609	   0.69
J1943-1237	   1.17
J1944-1750	   0.34
J1946-1312	   0.33
J1946-2913	   0.53
J1947+0915	   0.24
J1956+0838	   0.82
J2005-0020	   0.71
J2006-0807	   4.71
J2038-3816	   0.32
J2048-1616	  22.00
J2053-7200	
J2108-3429	   0.46
J2116+1414	   0.82
J2127-6648	   0.62
J2144-3933	
J2155-3118	   1.26
J2248-0101	   0.50
J2324-6054	   0.99
J2330-2005	   2.87
J2346-0609	   1.97

