#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-16T05:33:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6281df60226e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/626/A104&tab:{J/A+A/626/A104/tablea1}&key:source=J/A+A/626/A104/tablea1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/626/A104/tablea1
#-order=I
#-out=PSR
#-out=Sc135
#

#RESOURCE=yCat_36260104
#Name: J/A+A/626/A104
#Title: LOTAAS pulsar discoveries (Sanidas+, 2019)
#Table	J_A_A_626_A104_tablea1:
#Name: J/A+A/626/A104/tablea1
#Title: Known pulsars detected by LOTAAS
#Column	PSR	(A10)	PSR name	[ucd=meta.id;meta.main]
#Column	Sc135	(F6.1)	? Estimated flux density of the pulsars at 135MHz after applying the correction factor due to the offset in position	[ucd=phot.flux.density;em.radio.100-200MHz]
PSR	Sc135
B1952+29  	  56.9
B1953+50  	  74.4
B2016+28  	 618.8
B2020+28  	 217.7
B2021+51  	  48.6
B2022+50  	  33.6
B2027+37  	  96.7
B2028+22  	   9.7
B2034+19  	   6.3
B2043-04  	  41.6
B2044+15  	
B2045+56  	  18.5
B2053+21  	  28.7
B2053+36  	  30.1
B2106+44  	  28.1
B2110+27  	  70.7
B2111+46  	 244.5
B2113+14  	  19.5
B2122+13  	  11.1
B2148+52  	  10.7
B2148+63  	  48.5
B2154+40  	 105.4
B2210+29  	  14.3
B2217+47  	 781.2
B2224+65  	 126.3
B2227+61  	  58.9
B2241+69  	  12.4
B2255+58  	 149.0
B2303+30  	  34.9
B2303+46  	  10.7
B2306+55  	 133.4
B2310+42  	 129.5
B2315+21  	  44.3
B2319+60  	  12.6
B2323+63  	   5.8
B2324+60  	  22.0
B2334+61  	  28.7
B2351+61  	  10.5
J0030+0451	
J0033+57  	  29.7
J0033+61  	   6.9
J0051+0423	  73.9
J0104+64  	   4.9
J0137+1654	  15.3
J0139+5621	   3.6
J0158+21  	   3.4
J0201+7002	   4.2
J0212+5222	  11.5
J0214+5222	  25.0
J0220+36  	  14.6
J0242+62  	  48.7
J0329+1654	   5.2
J0338+66  	   9.4
J0341+5711	   6.7
J0348+0432	  10.8
J0355+28  	   4.5
J0358+42  	  21.9
J0358+66  	   5.9
J0407+1607	  71.9
J0408+551 	   6.6
J0413+58  	   7.9
J0417+35  	   5.0
J0426+4933	   5.1
J0435+27  	   4.6
J0457+23  	   9.2
J0459-0210	  60.9
J0517+22  	 105.6
J0519+54  	  11.2
J0533+0402	  11.5
J0538+2817	  33.3
J0540+3207	  28.1
J0546+2441	   5.7
J0555+3948	   4.0
J0608+00  	  10.8
J0608+16  	  31.4
J0609+2130	  15.0
J0610+37  	  17.4
J0611+30  	  27.2
J0613+3731	  30.8
J0621+0336	  19.8
J0621+1002	  31.6
J0627+0706	  38.0
J0645+5158	  37.7
J0645+80  	   4.5
J0750+57  	   5.4
J0815+4611	   9.7
J0943+22  	   5.4
J0943+41  	   2.1
J0947+27  	   6.6
J1000+08  	   5.4
J1012+5307	  47.6
J1022+1001	 125.8
J1101+65  	   1.3
J1110+58  	   2.7
J1125+7819	
J1134+24  	   4.3
J1238+2152	  27.1
J1239+32  	  24.7
J1242+39  	   5.9
J1246+22  	   5.7
J1313+0931	  42.0
J1327+34  	 108.4
J1411+25  	   5.3
J1434+7257	  24.8
J1518+4904	  47.5
J1549+2113	  11.9
J1627+1419	  65.1
J1629+43  	  13.2
J1645+1012	  42.9
J1647+66  	   7.8
J1649+2533	   9.6
J1652+2651	   5.8
J1706+59  	  15.7
J1736+05  	  19.4
J1741+2758	  21.6
J1746+2540	   8.9
J1752+2359	   7.6
J1758+3030	  66.1
J1800+50  	   6.6
J1806+28  	  47.8
J1811+0702	  12.1
J1814+1130	   8.9
J1815+55  	   3.9
J1821+1715	  15.5
J1821+41  	   6.9
J1822+0705	  21.9
J1832+27  	   6.7
J1836+51  	   4.8
J1838+1650	  10.5
J1844+21  	  11.7
J1848+0647	  29.2
J1849+2423	   9.8
J1851-0053	  29.0
J1900+30  	   6.7
J1906+1854	   8.4
J1907+57  	   3.8
J1912+2525	  24.2
J1921+42  	   9.1
J1922+58  	   8.8
J1929+00  	  33.1
J1929+62  	   2.6
J1930-01  	  30.9
J1935+52  	   4.7
J1938+0650	   8.8
J1938+14  	   9.5
J1941+0121	  25.4
J1941+43  	   7.6
J1942+81  	   4.9
J1943+0609	  11.4
J1945+07  	   5.0
J1952+30  	   4.6
J1954+43  	   6.0
J2000+29  	   4.3
J2001+42  	  14.1
J2005-0020	  20.2
J2007+0809	  53.8
J2007+0910	  18.1
J2008+2513	  13.0
J2010+2845	
J2016+1948	  22.1
J2017+2043	  10.2
J2017+59  	   8.4
J2027+74  	   9.5
J2030+55  	   8.9
J2033+0042	   8.9
J2036+2835	   8.1
J2038+35  	  17.2
J2040+1657	   5.4
J2043+2740	 165.6
J2043+7045	   6.2
J2045+0912	   5.8
J2102+38  	   8.4
J2105+28  	   6.0
J2113+67  	   4.3
J2137+64  	   3.0
J2139+2242	  40.0
J2145-0750	
J2155+2813	   4.8
J2156+2618	   7.2
J2202+21  	   3.9
J2203+50  	   5.0
J2205+1444	   5.7
J2207+40  	  36.5
J2208+5500	  10.0
J2215+1538	  16.7
J2222+2923	   3.8
J2222-0137	  11.5
J2227+30  	  14.5
J2228+40  	   6.1
J2234+2114	  12.3
J2235+1506	   7.6
J2243+69  	   4.8
J2248-0101	  13.0
J2253+1516	  14.4
J2301+48  	   4.8
J2302+6028	  68.5
J2315+58  	  29.0
J2316+69  	  17.3
J2326+6141	   8.5
J2340+08  	   9.3
J2347+02  	   6.1
J2352+65  	   4.3
J2353+85  	   2.4
J2356+22  	   3.7
