#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-29T14:05:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e3e8fc6493	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/342/1299&tab:{J/MNRAS/342/1299/table1}&key:source=J/MNRAS/342/1299/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/342/1299/table1
#-order=I
#-out=PSRJ
#-out=S1400MHz
#-out=e_S1400MHz
#

#RESOURCE=yCat_73421299
#Name: J/MNRAS/342/1299
#Title: Parkes Multi-Beam Pulsar Survey. III. (Kramer+, 2003)
#Table	J_MNRAS_342_1299_table1:
#Name: J/MNRAS/342/1299/table1
#Title: *Positions, flux densities and widths for 200 pulsars discovered in the Parkes Multibeam Pulsar Survey (PMPS)
#Column	PSRJ	(A10)	PSR J denomination	[ucd=meta.id;meta.main]
#Column	S1400MHz	(F6.3)	Mean flux density at 1400MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1400MHz	(F5.2)	rms uncertainty on S1400MHz	[ucd=stat.error]
PSRJ	S1400MHz	e_S1400MHz
1249-6507 	 0.100	 0.02
1254-6150 	 0.150	 0.03
1255-6131 	 0.130	 0.02
1301-6310 	 0.110	 0.02
1302-6313 	 0.180	 0.03
1306-6242 	 0.140	 0.02
1309-6526 	 0.150	 0.03
1314-6101 	 0.410	 0.05
1319-6105 	 0.840	 0.09
1322-6329 	 0.170	 0.03
1324-6146 	 0.730	 0.08
1324-6302 	 0.230	 0.03
1329-6158 	 0.220	 0.03
1339-6618 	 0.230	 0.03
1344-6059 	 0.190	 0.03
1354-6249 	 0.240	 0.03
1355-5925 	 0.550	 0.07
1355-6206 	 0.540	 0.06
1403-6310 	 0.650	 0.07
1406-5806 	 0.840	 0.09
1413-6141 	 0.610	 0.07
1418-5945 	 0.180	 0.03
1420-6048 	 0.910	 0.10
1424-5822 	 1.100	 0.12
1424-6438 	 0.240	 0.03
1425-5723 	 0.240	 0.03
1425-5759 	 0.090	 0.02
1434-6006 	 0.240	 0.03
1441-6137 	 0.150	 0.03
1449-5846 	 0.280	 0.04
1452-6036 	 1.400	 0.15
1457-5900 	 0.240	 0.03
1457-5902 	 0.260	 0.04
1501-5637 	 0.210	 0.03
1502-5828 	 0.500	 0.06
1502-6128 	 0.560	 0.07
1504-5621 	 0.240	 0.03
1509-5850 	 0.150	 0.03
1509-6015 	 0.170	 0.03
1511-5414 	 0.750	 0.08
1511-5835 	 0.500	 0.06
1512-5431 	 0.380	 0.05
1514-5925 	 0.270	 0.04
1515-5720 	 0.200	 0.03
1522-5525 	 0.250	 0.04
1524-5625 	 0.830	 0.09
1524-5706 	 0.410	 0.05
1525-5417 	 0.180	 0.03
1525-5605 	 0.250	 0.04
1526-5633 	 0.110	 0.02
1529-5355 	 0.370	 0.05
1529-5611 	 0.140	 0.02
1531-5610 	 0.600	 0.07
1532-5308 	 0.250	 0.04
1535-5450 	 0.170	 0.03
1535-5848 	 0.350	 0.04
1537-5153 	 0.070	 0.02
1538-5638 	 0.280	 0.04
1538-5750 	 0.060	 0.02
1539-5521 	 0.140	 0.02
1541-5535 	 0.220	 0.03
1542-5303 	 0.350	 0.04
1543-5013 	 0.170	 0.03
1546-5302 	 0.320	 0.04
1547-5839 	 0.410	 0.05
1548-4821 	 0.510	 0.06
1548-4927 	 0.690	 0.08
1549-5722 	 0.100	 0.02
1550-5242 	 0.320	 0.04
1550-5317 	 0.400	 0.05
1554-5512 	 0.110	 0.02
1556-5358 	 0.530	 0.06
1602-4957 	 0.170	 0.03
1610-5303 	 0.760	 0.09
1611-4811 	 0.080	 0.02
1612-5136 	 0.200	 0.03
1614-5144 	 0.160	 0.03
1614-5402 	 0.250	 0.04
1615-5444 	 0.590	 0.07
1618-4723 	 1.000	 0.11
1621-5243 	 0.270	 0.04
1624-4721 	 0.150	 0.03
1626-4537 	 1.100	 0.12
1627-5547 	 0.650	 0.07
1628-4828 	 0.290	 0.04
1630-4719 	 0.460	 0.06
1633-4805 	 0.230	 0.03
1635-4513 	 0.250	 0.04
1635-4944 	 0.400	 0.05
1636-4803 	 1.100	 0.12
1636-4933 	 0.450	 0.06
1637-4335 	 0.180	 0.03
1637-4642 	 0.780	 0.09
1637-4721 	 0.420	 0.05
1638-4344 	 0.170	 0.03
1638-4608 	 0.330	 0.04
1638-5226 	 0.600	 0.07
1639-4359 	 0.920	 0.10
1640-4648 	 0.260	 0.04
1640-4951 	 0.150	 0.03
1643-4522 	 0.110	 0.02
1643-4550 	 0.340	 0.04
1646-4308 	 0.330	 0.04
1648-4458 	 0.550	 0.07
1648-4611 	 0.580	 0.07
1649-4653 	 0.310	 0.04
1650-4126 	 0.290	 0.04
1650-4341 	 0.260	 0.04
1651-4519 	 0.540	 0.06
1653-4315 	 0.530	 0.06
1653-4854 	 0.180	 0.03
1654-4140 	 0.710	 0.08
1657-4432 	 0.380	 0.05
1658-4306 	 0.800	 0.09
1659-4316 	 0.210	 0.03
1659-4439 	 0.420	 0.05
1700-4939 	 0.170	 0.03
1702-3932 	 0.300	 0.04
1702-4128 	 1.100	 0.12
1702-4310 	 0.720	 0.08
1702-4428 	 0.380	 0.05
1703-4442 	 0.210	 0.03
1705-3936 	 0.330	 0.04
1705-3950 	 1.500	 0.16
1705-4108 	 1.300	 0.14
1706-3839 	 0.200	 0.03
1706-4310 	 0.280	 0.04
1707-4341 	 0.460	 0.06
1707-4729 	 1.900	 0.20
1708-3827 	 0.420	 0.05
1709-3626 	 0.580	 0.07
1709-4342 	 0.140	 0.02
1710-4148 	 0.310	 0.04
1711-3826 	 0.160	 0.03
1713-3844 	 0.260	 0.04
1715-3903 	 0.460	 0.06
1715-4034 	 1.600	 0.17
1717-3737 	 0.690	 0.08
1717-3847 	 0.300	 0.04
1717-4043 	 0.540	 0.06
1717-40433	 0.410	 0.05
1719-4302 	 0.370	 0.05
1725-3848 	 0.140	 0.02
1725-4043 	 0.340	 0.04
1732-3729 	 0.310	 0.04
1736-3511 	 0.180	 0.03
1751-3323 	 1.300	 0.14
1829-0734 	 0.450	 0.06
1834-1710 	 1.000	 0.11
1842-0905 	 0.810	 0.09
1845-0743 	 2.700	 0.30
1853+0545 	 1.600	 0.17
1857+0526 	 0.660	 0.08
1904+0800 	 0.360	 0.05
1913+0446 	 0.480	 0.06

