#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-12-22T07:21:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61c2d19d3900ea	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/273/411&tab:{J/MNRAS/273/411/table3}&key:source=J/MNRAS/273/411&HTTPPRM:&
#-source=J/MNRAS/273/411/table3
#-order=I
#-out=PSRB
#-out=S408
#-out=e_S408
#-out=S606
#-out=e_S606
#-out=S925
#-out=e_S925
#-out=S1408
#-out=e_S1408
#-out=S1606
#-out=e_S1606
#
#RESOURCE=yCat_72730411
#Name: J/MNRAS/273/411
#Title: Multifrequency fluxes of 280 pulsars (Lorimer+ 1995)
#Table	J_MNRAS_273_411_table3:
#Name: J/MNRAS/273/411/table3
#Title: Fluxes for the 280 pulsars
#Column	PSRB	(a8)	Name of pulsar as in Taylor cat. <VII/156>	[ucd=meta.id;meta.main]
#Column	S408	(F6.1)	? Flux density at 408MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.1)	? Mean error on S408	[ucd=stat.error]
#Column	S606	(F6.1)	? Flux density at 606MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	e_S606	(F5.1)	? Mean error on S606	[ucd=stat.error]
#Column	S925	(F5.1)	? Flux density at 925MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S925	(F5.1)	? Mean error on S925	[ucd=stat.error]
#Column	S1408	(F5.1)	? Flux density at 1408MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1408	(F5.1)	? Mean error on S1408	[ucd=stat.error]
#Column	S1606	(F5.1)	? Flux density at 1606MHz	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	e_S1606	(F5.1)	? Mean error on S1606	[ucd=stat.error]
PSRB	S408	e_S408	S606	e_S606	S925	e_S925	S1408	e_S1408	S1606	e_S1606
0339+53 	   3.7	  0.6	   1.1	  0.1	     	     	  0.3	  0.1	     	
0353+52 	  12.2	  2.0	   7.5	  0.8	     	     	  1.9	  0.2	  1.5	  0.2
0355+54 	  46.2	  6.7	  37.1	  3.4	 15.7	  3.0	 22.9	  6.5	     	
0402+61 	  14.6	  1.3	   9.5	  0.3	     	     	  2.8	  0.2	     	
0410+69 	   6.4	  0.3	   2.1	  0.1	     	     	  0.5	  0.1	     	
0447-12 	  11.0	  1.0	   6.2	  0.4	     	     	  0.9	  0.1	     	
0450+55 	  58.7	  9.1	  27.5	  2.6	 21.0	  3.4	 12.9	  2.6	  5.0	  1.4
0450-18 	  82.4	 10.0	  65.1	  4.2	     	     	  5.3	  0.8	     	
0458+46 	  10.8	  0.7	   8.8	  0.3	  5.0	  0.5	  2.5	  0.1	     	
0523+11 	  19.5	  0.9	   9.2	  0.5	  4.8	  0.5	  1.6	  0.1	     	
0525+21 	  57.4	  5.3	  31.6	  5.5	 16.9	  4.6	  8.5	  1.7	  6.6	  1.8
0531+21 	 646.0	 70.0	 210.0	 36.0	 45.1	 10.0	 14.4	  3.2	     	
0540+23 	  28.9	  1.3	  25.9	  1.4	 22.3	  3.1	  8.9	  1.2	     	
0559-05 	  22.7	  0.9	  10.8	  0.4	     	     	  2.5	  0.1	     	
0609+37 	  15.5	  1.4	   7.8	  1.4	     	     	  4.4	  2.4	     	
0611+22 	  29.4	  1.2	  12.8	  0.4	  5.5	  0.8	  2.2	  0.1	  1.6	  0.1
0621-04 	   4.9	  0.5	   4.4	  0.4	     	     	  2.2	  1.3	     	
0626+24 	  31.1	  1.7	  13.8	  0.9	     	     	  3.2	  0.4	     	
0628-28 	 205.0	 21.0	 106.0	  9.0	 56.5	 16.0	 23.4	  5.6	     	
0643+80 	   6.5	  0.8	   3.3	  0.7	     	     	  0.4	  0.1	     	
0655+64 	   5.2	  1.1	   2.1	  0.5	  2.3	  1.0	  0.3	  0.1	     	
0656+14 	   6.5	  0.6	   3.8	  0.6	  4.8	  1.4	  3.7	  0.8	     	
0727-18 	  11.2	  0.7	   7.1	  0.4	  2.9	  0.4	  1.3	  0.2	     	
0740-28 	 295.0	 13.0	 130.0	  5.0	 58.6	  5.6	 23.0	  2.5	     	
0751+32 	   7.7	  1.0	   3.1	  0.4	  1.1	     	  0.6	  0.3	     	
0756-15 	   8.2	  0.6	   3.7	  0.3	  1.6	  0.2	  2.0	  0.4	     	
0809+74 	  78.8	 15.1	  51.0	 14.7	     	     	 10.0	  1.3	     	
0818-13 	 101.0	  5.0	  45.0	  3.8	 14.4	  1.9	  6.8	  1.1	     	
0820+02 	  30.2	  4.8	  12.0	  1.8	     	     	  1.5	  0.7	     	
0823+26 	  73.1	 12.6	  62.4	  9.1	 36.1	 13.8	 10.0	  2.3	     	
0834+06 	  89.2	 13.8	  32.3	  7.0	  5.3	  1.5	  4.3	  1.4	     	
0853-33 	   9.8	     	   4.6	  0.3	     	     	  0.6	  0.1	     	
0906-17 	  16.1	  1.0	  11.0	  1.9	  3.8	  0.9	  3.2	  0.7	     	
0917+63 	   4.6	  1.1	   3.9	     	     	     	  0.5	  0.2	     	
0919+06 	  52.2	  6.4	  27.3	  3.3	 14.3	  2.0	  4.2	  0.9	     	
0940+16 	   6.6	  1.6	   4.9	  1.3	     	     	  1.4	  0.4	     	
0942-13 	  25.9	  4.4	   7.3	  1.9	     	     	  0.6	  0.2	     	
0943+10 	   4.1	  1.4	   0.9	     	     	     	     	     	     	
0950+08 	 447.0	155.0	 402.0	 58.0	259.0	 47.0	 83.6	  7.5	     	
1010-23 	   4.1	  0.8	   1.9	     	     	     	     	     	     	
1016-16 	   5.1	  0.8	   2.6	  0.2	     	     	  0.6	  0.2	     	
1039-19 	  27.7	  5.5	  13.2	  1.8	  9.7	  3.6	  4.2	  1.3	     	
1112+50 	  12.3	  1.8	   3.8	  0.6	  3.3	  1.0	  2.5	  1.5	     	
1133+16 	 256.0	 53.0	 144.0	 35.0	 36.9	 10.5	 32.1	  5.0	 50.7	 15.2
1237+25 	 110.0	 33.0	  46.8	 11.7	 26.2	 12.7	 10.0	  1.7	 16.7	 10.1
1254-10 	  11.8	  1.3	   5.6	  0.5	  4.4	  1.6	  1.2	  0.3	  1.0	  0.3
1309-12 	   4.0	  0.3	   2.4	  0.3	  0.7	     	  0.5	  0.1	     	
1322+83 	  11.0	  2.0	   6.2	  2.5	     	     	  1.5	     	     	
1508+55 	 114.0	  5.0	  37.4	  2.6	 21.1	  4.8	  7.8	  1.2	     	
1530+27 	  12.6	  2.3	   6.4	  1.6	  3.2	  1.4	  0.8	  0.3	     	
1540-06 	  40.1	  6.4	  11.3	  1.1	  4.5	  1.2	  2.0	  0.7	     	
1541+09 	  77.7	  6.1	  31.6	  1.7	     	     	  5.9	  0.9	     	
1552-23 	   7.6	  0.6	   4.9	  0.3	     	     	  0.9	  0.1	     	
1552-31 	  19.0	  1.3	  13.2	  1.1	     	     	  1.4	  0.4	     	
1600-27 	  19.6	  1.1	  12.4	  0.8	     	     	  1.7	  0.3	     	
1604-00 	  54.2	  8.1	  25.7	  7.1	     	     	  5.0	  2.1	     	
1607-13 	  15.7	  1.3	   6.8	  1.1	     	     	     	     	     	
1612+07 	   9.6	  0.8	   2.9	  0.4	     	     	  0.6	  0.3	     	
1612-29 	   3.1	  0.5	   2.2	  0.8	     	     	     	     	     	
1620-09 	   6.0	  0.4	   3.4	  0.2	     	     	  0.6	  0.1	     	
1633+24 	   9.1	  0.8	   3.4	  0.3	     	     	  0.5	     	     	
1642-03 	 392.0	 42.0	 172.0	 18.0	     	     	 21.2	  5.7	     	
1648-17 	   8.6	  1.0	   4.2	  0.6	     	     	  0.3	  0.1	     	
1649-23 	   9.2	  0.6	   4.9	  0.4	     	     	  1.1	  0.1	     	
1657-13 	   6.3	  0.7	   3.2	  0.3	     	     	     	     	     	
1700-18 	  11.3	  1.2	   9.1	  1.1	     	     	  0.7	  0.2	     	
1700-32 	  32.1	  2.9	   9.3	  0.6	     	     	     	     	     	
1702-19 	  28.8	  2.5	  14.5	  1.6	 10.1	  1.9	  7.7	  3.1	     	
1706-16 	  47.1	  4.9	  20.0	  3.0	     	     	  4.2	  1.6	     	
1709-15 	   5.9	  0.6	   2.8	  0.1	     	     	  0.7	  0.2	     	
1714-34 	      	     	  21.6	  4.2	     	     	  2.4	  0.5	     	
1717-16 	  12.5	  2.1	   6.2	  0.8	     	     	  1.1	  0.4	     	
1717-29 	  31.5	  4.3	  13.0	  1.3	     	     	  1.9	  0.4	     	
1718-02 	  22.4	  1.9	  13.1	  0.6	     	     	  1.0	  0.2	     	
1718-32 	  61.4	  3.8	  26.6	  1.9	     	     	  3.7	  0.2	     	
1726-00 	  10.5	  1.3	   4.1	  0.6	     	     	     	     	     	
1727-33 	  14.8	     	      	     	     	     	  2.9	  0.3	     	
1730-22 	  24.8	  3.2	  14.2	  1.7	     	     	  2.2	  0.3	     	
1732-07 	  17.7	  1.5	  13.9	  0.7	     	     	  1.7	  0.2	     	
1734-35 	      	     	   2.0	  0.3	     	     	  0.5	  0.1	     	
1735-32 	   5.0	     	   3.1	  0.3	     	     	  1.6	  0.1	  1.1	  0.1
1736-31 	      	     	   8.5	  1.5	     	     	  4.3	  0.3	  3.5	  0.3
1737+13 	  23.9	  1.8	  14.2	  1.3	     	     	  3.9	  0.5	     	
1737-30 	  31.4	     	  17.6	  1.5	 11.3	  0.6	  6.0	  0.3	  5.7	  0.7
1738-08 	  29.4	  7.7	  18.0	  2.6	     	     	  1.4	  0.4	     	
1740-03 	   3.9	     	   2.0	  0.3	     	     	  0.6	     	     	
1740-13 	   6.1	  0.8	   3.7	  0.3	     	     	  0.5	  0.1	     	
1740-31 	  10.9	     	  12.4	  0.4	     	     	  2.4	  0.2	     	
1742-30 	  65.7	  6.0	  50.5	  2.6	 35.6	  3.0	 14.1	  1.4	     	
1745-12 	  23.4	  1.1	   7.7	  0.7	     	     	  2.0	  0.3	     	
1746-30 	  25.2	     	  10.3	  3.2	     	     	  3.5	  0.4	     	
1747-31 	      	     	   3.8	  0.6	     	     	  1.4	  0.3	     	
1749-28 	1051.0	103.0	 334.0	 21.0	     	     	 36.2	  5.7	     	
1750-24 	      	     	      	     	  2.3	  0.1	  1.6	  0.1	  1.8	  0.1
1753+52 	   4.9	  0.8	   2.0	  0.4	     	     	  1.6	  0.4	     	
1753-24 	  15.1	     	   3.2	  0.4	     	     	  1.9	  0.1	  1.6	  0.1
1754-24 	  20.1	  3.8	  18.1	  0.8	     	     	  7.1	  0.5	     	
1756-22 	  19.5	  2.4	  11.4	  1.8	     	     	  2.6	  0.4	     	
1757-24 	   9.8	     	   2.3	  0.1	     	     	     	     	     	
1758-03 	  17.0	  0.9	   5.5	  0.3	     	     	  0.7	  0.1	     	
1758-23 	      	     	      	     	     	     	  5.7	  0.3	  5.5	  0.4
1800-21 	  23.3	  5.3	  18.2	  0.9	 17.0	  0.8	 14.6	  0.9	 17.4	  1.1
1800-27 	   5.1	     	      	     	     	     	  0.9	  0.1	     	
1802-07 	   6.1	     	   1.0	  0.2	     	     	  0.6	  0.1	     	
1804-08 	  65.4	  3.6	  53.6	  1.7	     	     	 15.7	  4.0	     	
1804-27 	      	     	   7.4	  0.4	     	     	  0.6	  0.1	     	
1805-20 	      	     	   8.1	  0.9	     	     	     	     	     	
1806-21 	      	     	   6.3	  1.2	     	     	  1.9	  0.7	  0.6	  0.2
1810+02 	   3.8	  0.3	   2.3	  0.2	     	     	  0.3	  0.1	     	
1811+40 	   7.9	  2.1	   6.4	  0.7	     	     	  1.1	  0.2	     	
1813-17 	      	     	   2.9	  0.3	     	     	  1.4	  0.2	  1.1	  0.1
1813-26 	  18.2	  2.0	  10.5	  0.8	     	     	     	     	     	
1815-14 	      	     	   6.7	  1.9	 12.5	  1.5	  6.9	  0.8	  4.8	  0.5
1817-13 	      	     	  10.8	  3.4	     	     	  3.3	  0.8	  2.0	  0.4
1817-18 	      	     	      	     	     	     	  1.1	  0.3	     	
1818-04 	 156.0	  6.0	  64.9	  2.0	     	     	  8.0	  0.6	     	
1819-22 	  25.3	  2.4	  14.3	  1.6	  7.7	  0.6	  3.2	  0.1	     	
1820-11 	  10.6	  1.8	  13.2	  0.8	  8.8	  1.2	  3.8	  0.3	  3.0	  0.6
1820-14 	      	     	   1.5	  0.2	     	     	  0.8	  0.1	     	
1820-30B	   2.2	  0.2	   1.0	  0.1	     	     	     	     	     	
1820-31 	  36.4	  3.5	  17.2	  2.3	     	     	  2.5	  0.6	     	
1821+05 	  18.4	  2.2	  13.1	  2.1	  6.7	  1.1	  1.7	  0.4	     	
1821-11 	      	     	   8.4	  1.9	  3.7	  1.1	  2.4	  0.6	  1.4	  0.2
1821-19 	  71.2	  6.3	  35.6	  1.6	     	     	  6.1	  0.4	  5.2	  0.6
1822+00 	   7.8	  1.7	   3.5	  0.3	     	     	  0.4	  0.1	     	
1822-09 	  35.5	  2.5	  19.0	  1.6	 16.1	  2.4	 10.8	  3.4	     	
1822-14 	      	     	      	     	     	     	  3.0	  0.2	  2.5	  0.2
1823-11 	   7.0	     	   8.3	  0.4	  3.2	  0.4	  1.1	  0.1	  0.8	  0.1
1823-13 	      	     	   1.8	  0.4	  5.1	     	  4.3	  0.2	  5.1	  0.5
1826-17 	  78.4	  5.2	  53.2	  1.8	     	     	 10.3	  0.9	 12.8	  2.1
1828-10 	   2.8	     	   1.3	  0.1	  1.6	  0.3	  1.0	  0.1	  1.1	  0.4
1829-08 	   9.4	  0.8	   9.1	  0.5	  6.9	  0.3	  4.1	  0.9	  3.4	  0.2
1829-10 	   3.4	  0.5	   1.5	  0.1	  1.7	     	  0.6	  0.1	  0.4	  0.1
1830-08 	      	     	   6.3	  0.5	 10.4	  0.6	  4.7	  0.6	  3.7	  0.4
1831-00 	   6.7	     	   3.8	     	     	     	     	     	     	
1831-03 	  88.5	  4.7	  35.3	  0.7	  9.8	  0.7	  2.8	  0.3	     	
1831-04 	  77.4	  7.8	  46.3	  1.5	     	     	 15.2	  2.3	     	
1832-06 	      	     	   3.0	  1.0	     	     	  2.6	  0.2	  2.2	  0.2
1834-04 	      	     	   5.8	  1.3	  3.6	  0.9	  1.4	  0.4	  0.9	  0.2
1834-06 	      	     	   8.5	  1.8	     	     	  3.1	  0.6	  2.6	  0.3
1834-10 	  53.8	  6.0	  27.3	  2.3	     	     	  5.3	  1.1	  3.2	  0.3
1838-04 	   2.6	  0.4	   3.0	  0.1	  3.7	  0.3	  2.3	  0.2	  1.6	  0.2
1839+09 	  20.3	  1.2	   9.9	  0.7	     	     	  1.7	  0.1	     	
1839+56 	  20.8	  2.9	  13.8	  1.6	  5.4	  1.2	  3.7	  1.0	     	
1839-04 	  33.5	     	  30.8	  1.6	     	     	  8.5	  0.6	  5.9	  0.5
1841-04 	   8.1	  0.7	   5.6	  0.2	  2.8	  0.2	  1.3	  0.1	  0.9	  0.1
1841-05 	      	     	  11.4	  0.9	     	     	  2.7	  0.3	  1.9	  0.3
1842+14 	  19.7	  2.2	   8.6	  0.8	     	     	  1.5	  0.3	     	
1842-02 	      	     	   1.5	  0.3	     	     	  1.0	  0.2	  0.5	  0.1
1842-04 	      	     	   3.5	  0.9	     	     	  2.3	  0.3	  1.6	  0.2
1844-04 	  74.8	  3.2	  28.2	  0.4	     	     	  4.8	  0.5	     	
1845-01 	  79.1	  5.8	  44.7	  2.4	     	     	     	     	     	
1845-19 	  16.9	  1.9	   7.4	  1.1	     	     	     	     	     	
1846-06 	  26.3	  1.3	  10.5	  0.3	     	     	  1.6	  0.2	     	
1848+04 	      	     	   5.4	  0.8	     	     	  1.6	     	     	
1848+12 	   7.8	  1.5	   2.1	  0.3	     	     	  0.5	  0.1	  0.5	  0.1
1848+13 	   5.7	  1.1	   4.4	  0.4	     	     	  1.4	  0.3	  0.7	  0.2
1849+00 	      	     	      	     	     	     	  5.2	  0.6	  4.3	  0.6
1851-14 	   8.2	  1.2	   6.0	  0.5	     	     	     	     	     	
1853+01 	  16.1	     	   5.9	  1.5	     	     	     	     	     	
1855+02 	      	     	   9.3	  2.2	  4.9	  1.9	  2.2	  0.3	  1.5	  0.2
1857-26 	 130.0	 12.0	  73.0	  4.1	     	     	 12.5	  1.1	     	
1859+01 	  13.7	  0.6	   4.2	  0.3	     	     	     	     	     	
1859+03 	 165.0	 10.0	  47.4	  2.7	     	     	  3.2	  0.7	     	
1859+07 	   5.6	     	   5.0	  0.4	  3.0	  0.4	  2.1	  0.3	  1.7	  0.3
1900+01 	  58.3	  7.9	  31.0	  2.4	     	     	     	     	     	
1900+05 	  14.9	  1.9	  10.2	  0.4	     	     	  2.3	  0.4	     	
1900+06 	  21.9	  4.3	  11.6	  0.8	  5.7	  0.7	  2.3	  1.1	     	
1900-06 	  23.0	  1.1	  11.3	  0.7	     	     	     	     	     	
1902-01 	   9.8	  0.6	   5.2	  0.2	     	     	  0.8	  0.1	     	
1903+07 	      	     	   5.5	  0.4	     	     	  1.9	  0.1	  1.2	  0.3
1904+06 	   6.2	  1.6	      	     	     	     	  2.6	  0.5	  2.4	  0.3
1905+39 	  22.5	  2.6	  12.6	  1.3	     	     	  1.8	  0.3	     	
1907+00 	  12.0	  0.7	   7.3	  0.3	     	     	  0.8	  0.1	     	
1907+02 	  21.2	  1.2	   6.1	  0.2	     	     	  0.7	  0.1	     	
1907+03 	  20.7	  6.0	  15.7	  1.6	     	     	     	     	     	
1907+10 	  50.2	  3.0	  17.5	  0.9	     	     	  2.2	  0.2	     	
1907-03 	  26.9	  2.8	   5.8	  0.3	  2.6	  0.3	  0.8	  0.1	     	
1910+20 	   5.7	  1.1	   3.3	  0.3	     	     	  0.8	  0.1	     	
1911+11 	   1.6	     	   0.9	  0.2	     	     	     	     	     	
1911+13 	   5.2	  0.7	   4.3	  0.3	     	     	  1.2	  0.1	     	
1911-04 	 117.0	  8.0	  44.1	  2.9	     	     	  4.4	  0.5	     	
1913+10 	  23.1	  2.1	   9.8	  1.0	  4.2	  1.0	  2.0	  0.5	  2.2	  0.6
1913+16 	   4.2	  1.1	      	     	     	     	  0.7	  0.1	     	
1913+167	   4.5	  0.8	   2.5	  0.4	     	     	     	     	     	
1914+09 	  19.9	  2.2	   5.6	  0.3	     	     	  1.0	  0.1	     	
1914+13 	  12.4	  1.1	   8.4	  0.5	     	     	  1.9	  0.3	     	
1915+13 	  42.8	  2.9	  22.6	  1.8	 12.8	  1.2	  3.9	  0.5	  2.4	  0.7
1916+14 	   2.2	     	   1.6	  0.2	  1.5	  0.7	  1.4	  0.5	     	
1917+00 	  15.6	  1.3	   6.7	  0.5	     	     	  0.8	  0.2	     	
1918+19 	  34.4	  3.5	  13.1	  0.9	     	     	  1.7	  0.3	     	
1918+26 	   6.1	  1.1	   2.3	     	     	     	     	     	     	
1919+14 	   5.2	     	   3.2	  0.7	     	     	  1.0	  0.1	     	
1919+21 	  56.5	  8.2	  72.7	 21.6	 12.8	  0.4	  5.3	  2.5	     	
1920+20 	   3.8	  0.7	   1.4	  0.3	     	     	     	     	     	
1920+21 	  29.9	  1.2	  13.6	  1.1	     	     	  1.4	  0.2	     	
1923+04 	  21.9	  2.2	   7.3	  1.3	     	     	     	     	     	
1924+16 	   8.2	  1.0	   3.7	  0.6	     	     	  1.3	  0.2	     	
1929+10 	 303.0	 75.0	 187.0	 42.0	     	     	 41.1	  5.7	     	
1929+20 	  28.5	  2.2	  10.8	  1.2	     	     	  1.2	  0.4	     	
1930+22 	   7.8	  0.8	   5.3	  0.5	  2.8	  0.6	  1.2	  0.1	  1.6	  0.3
1931+24 	   8.7	     	   1.7	     	     	     	     	     	     	
1933+16 	 242.0	 22.0	 161.0	 12.0	     	     	 41.8	  5.6	     	
1935+25 	   6.6	  0.4	   6.6	  1.0	     	     	  2.3	  0.6	     	
1937-26 	  12.6	  1.0	  10.4	  1.7	     	     	  2.7	  1.3	     	
1940-12 	  12.9	  0.6	   4.5	  0.6	     	     	  0.7	  0.2	     	
1941-17 	   7.5	  0.5	   3.0	  0.3	     	     	  0.4	     	     	
1942-00 	   5.5	  1.3	   4.7	  0.6	     	     	  0.8	  0.1	     	
1943-29 	   9.3	  0.8	   4.1	  0.5	     	     	  0.8	  0.3	     	
1944+17 	  39.5	  5.2	  31.3	  3.9	     	     	 10.0	  4.0	     	
1946+35 	 144.0	  8.0	  78.9	  1.6	 27.8	  1.0	  8.3	  0.9	     	
1946-25 	   5.2	  0.6	   2.6	  0.5	     	     	  0.4	  0.1	     	
1951+32 	   7.3	  1.0	   5.1	  0.5	  3.8	  0.9	  1.0	  0.1	  1.4	  0.3
1952+29 	   9.0	     	   6.6	  2.0	  5.2	  1.4	  5.3	  0.8	     	
1953+50 	  26.4	  2.9	  14.3	  1.1	     	     	  4.4	  1.4	     	
2000+32 	   5.5	  0.5	   3.9	  0.1	  2.2	  0.4	  1.2	  0.1	  1.2	  0.1
2000+40 	  53.0	  6.6	  22.9	  0.7	 11.3	  1.0	  4.9	  0.2	  3.8	  0.2
2002+31 	  14.5	  0.9	  11.6	  0.7	  7.1	  0.4	  1.8	  0.1	     	
2003-08 	  19.6	  2.8	   7.4	  1.5	  7.1	  1.1	  2.8	  0.7	     	
2011+38 	  25.5	  1.4	  18.7	  0.9	 11.1	  1.1	  6.4	  0.5	  6.3	  0.3
2016+28 	 313.0	 29.0	 100.0	 12.0	     	     	 30.1	 13.2	     	
2020+28 	  71.0	  6.9	  59.9	  9.9	     	     	     	     	     	
2021+51 	  76.5	 12.4	  95.9	 22.9	     	     	 27.2	  9.1	     	
2022+50 	   6.5	  0.7	   4.0	  0.3	     	     	  2.2	  0.5	  2.3	  0.5
2027+37 	  18.2	  2.4	   4.8	  0.2	     	     	  0.6	  0.1	     	
2035+36 	   6.0	  1.0	   3.1	  0.7	     	     	  0.8	  0.4	     	
2036+53 	   3.1	  0.4	   1.1	  0.2	     	     	  0.3	  0.1	     	
2043-04 	  19.5	  1.3	   8.6	  0.5	     	     	  1.7	  0.5	     	
2044+15 	  11.5	  0.9	   4.6	  0.3	     	     	  1.7	  0.3	     	
2045+56 	   7.9	     	   1.3	  0.3	     	     	  0.3	  0.1	     	
2045-16 	 115.0	 26.0	 102.0	 21.0	     	     	 12.9	  4.0	 18.4	  8.5
2053+21 	   8.7	  1.0	   6.2	  0.5	     	     	     	     	     	
2053+36 	  27.6	  1.0	  14.4	  0.4	     	     	  2.6	  0.1	     	
2106+44 	  25.9	  1.8	  19.4	  0.7	     	     	  5.4	  0.4	     	
2110+27 	  17.9	  2.5	   8.0	  1.0	     	     	  1.1	  0.2	     	
2111+46 	 229.0	 11.0	 112.0	 10.0	 44.3	  2.7	 19.3	  1.4	 14.5	  1.6
2113+14 	   9.3	  1.0	   3.4	  0.2	     	     	  0.8	  0.1	     	
2148+52 	  15.6	  0.8	   6.6	  0.5	     	     	  2.0	  0.3	  2.4	  0.1
2148+63 	  31.5	  1.5	  18.4	  0.7	     	     	  2.9	  0.4	     	
2152-31 	  12.0	  2.0	   5.4	  0.8	     	     	  0.5	  0.3	     	
2154+40 	 104.0	  6.0	  54.7	  3.1	     	     	 16.9	  1.8	     	
2210+29 	   6.3	  0.8	   4.2	  0.4	     	     	  0.9	  0.2	     	
2217+47 	 110.0	 12.0	  35.6	  2.6	     	     	     	     	     	
