#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-24T01:02:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632e56101786d8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/829/119&tab:{J/ApJ/829/119/table1}&key:source=J/ApJ/829/119/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/829/119/table1
#-order=I
#-out=Name
#-out=St
#-out=e_St
#I17=I17
#

#RESOURCE=yCat_18290119
#Name: J/ApJ/829/119
#Title: Known pulsars identified in the TGSS ADR (Frail+, 2016)
#Table	J_ApJ_829_119_table1:
#Name: J/ApJ/829/119/table1
#Title: Bright radio pulsars detected at 150MHz
#Column	Name	(A10)	Common pulsar identifier (1)	[ucd=meta.id;meta.main]
#Column	St	(F8.1)	[13/151870] Total 150MHz flux density from TGSS ADR (Intema+, 2017A&A...598A..78I)	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_St	(F5.1)	[3/697] Measured uncertainty in St (3)	[ucd=stat.error]
Name	St	e_St
B0906-17  	    46.0	  7.5
B0919+06  	   216.3	  7.6
B0943+10  	   127.9	 22.2
B0950-38  	    30.8	  5.9
B0950+08  	   655.9	 14.1
B0957-47  	    66.1	  3.1
J1022+1001	    33.8	  5.3
J1034-3224	    33.7	  6.2
J1045-4509	    55.2	  5.7
B1112+50  	   197.6	  3.7
B1114-41  	   196.9	  5.3
B1133+16  	   644.3	  6.1
B1237+25  	   136.1	  5.8
B1257+12  	   136.8	  5.9
B1322+83  	    18.3	  5.0
B1352-51  	   105.0	  6.8
J1418-3921	    82.4	  7.8
B1504-43  	   200.3	 10.3
B1508+55  	   988.2	  7.2
B1530+27  	    39.7	  3.5
B1534+12  	    32.8	  5.1
B1540-06  	   145.4	  5.6
B1541+09  	   368.7	  4.5
J1543-5149	   157.8	 12.2
B1556-44  	    44.5	  9.4
B1557-50  	   190.6	 13.5
B1600-27  	   106.5	  7.6
B1600-49  	    82.3	 15.3
B1604-00  	   198.1	 11.1
B1609-47  	    64.4	 10.7
B1610-50  	   297.0	 28.1
B1612+07  	    31.6	  5.8
B1620-09  	    37.2	  4.3
B1629-50  	   156.9	 15.0
B1633+24  	    48.3	  4.7
J1643-1224	   186.7	  5.7
B1641-45  	   108.4	 20.3
B1642-03  	   429.6	  5.8
J1645+1012	    44.8	  5.1
B1648-42  	  2470.5	 15.6
B1700-32  	   162.7	  8.0
B1700-18  	    41.3	  5.8
B1702-19  	    52.6	  5.4
J1705-3423	    33.1	 10.2
B1703-40  	   956.5	 22.4
B1706-16  	    82.5	  6.2
B1714-34  	   149.5	 15.8
B1717-16  	    49.1	  6.3
B1717-29  	   342.5	  9.9
B1718-32  	   383.4	 13.0
B1718-02  	    56.6	 12.4
J1730-2304	    84.1	 10.2
B1727-47  	   237.6	  8.3
B1737+13  	    43.9	  5.6
B1740-31  	    83.6	 14.2
B1740-13  	    28.9	  7.4
J1747-4036	   580.9	 23.6
B1747-46  	   326.0	 43.1
B1749-28  	  2591.9	 30.0
J1754-3443	    74.3	  9.3
J1758+3030	    29.4	  4.3
B1756-22  	   138.6	 17.0
B1757-24  	    82.0	 24.0
B1758-29  	    58.4	  9.0
J1802-2124	    71.5	 13.6
B1804-08  	    94.5	 12.4
J1809-3547	   103.9	  9.3
J1810+1744	   299.4	  6.0
J1811-1925	 62992.6	 92.7
B1813-17  	    35.2	 13.8
J1816+4510	   123.9	  6.9
B1818-04  	   974.9	  8.4
B1821+05  	   168.8	  8.4
B1820-30A 	   384.0	 12.7
B1820-31  	   171.6	  9.7
B1821-19  	   100.5	  8.3
B1821-24A 	   405.6	 10.6
B1822-09  	   411.7	 10.9
B1826-17  	   102.2	  7.5
J1833-1034	  7116.8	 28.4
B1831-03  	   229.6	 11.1
B1831-04  	   487.3	 11.3
B1832-06  	   189.8	 19.3
J1835-1106	    92.8	 11.5
B1834-10  	    65.4	 15.0
B1839+56  	    65.5	  5.9
J1843-1113	   139.9	  8.8
B1842+14  	   105.4	  7.3
J1846-0749	    78.2	  8.6
B1844-04  	   945.1	 14.2
B1845-01  	   420.0	 17.9
B1846-06  	   202.8	  7.5
B1848+04  	    93.4	  9.2
B1857-26  	   408.2	 15.3
B1859+03  	   437.1	 17.3
J1902-5105	   317.2	  6.6
B1900-06  	   149.9	  7.2
B1902-01  	    37.9	  7.3
B1905+39  	    38.1	  5.3
B1907+00  	    59.0	  8.1
B1907+10  	   325.6	 11.6
B1907+03  	   165.1	 14.0
B1907-03  	   123.7	  6.5
J1911-1114	    62.4	  7.9
B1911-04  	   527.7	  8.8
J1916+0844	    42.3	  8.6
B1914+09  	    63.8	 10.1
B1915+13  	   149.6	 21.3
B1918+19  	    71.2	  6.7
B1919+21  	  1169.1	 11.3
B1920+21  	   131.3	  9.2
J1928+1923	    32.1	  5.8
J1930+1852	   463.9	  7.5
B1929+20  	   117.2	  6.6
B1929+10  	   258.4	  8.2
B1933+16  	   159.2	 10.3
B1937+21  	  3619.8	 19.2
B1940-12  	    36.8	  5.9
J1944+0907	    95.3	  8.1
B1946+35  	   462.3	 10.6
B1951+32  	   873.2	 37.9
B1953+29  	    56.7	  5.1
B1957+20  	   398.1	  7.0
J2010+2845	    45.4	  4.4
B2016+28  	   282.0	 10.2
B2020+28  	    72.0	  7.4
B2027+37  	   132.0	 14.1
J2043+2740	    98.2	  6.4
B2043-04  	    26.2	  4.7
B2045-16  	   360.1	  9.9
J2051-0827	    22.6	  4.7
B2053+36  	    64.4	  6.7
B2106+44  	    76.2	  7.7
B2111+46  	   461.7	  7.3
J2139+2242	    26.8	  4.8
J2145-0750	   237.4	  5.4
B2148+63  	    32.7	  5.2
B2152-31  	    32.0	  6.2
B2154+40  	    87.3	  9.0
J2215+5135	    87.5	  6.0
B2217+47  	   592.4	  6.6
B2224+65  	    62.1	  4.6
J2229+6114	    77.3	  6.5
B2227+61  	    53.4	  6.4
J2234+2114	    13.9	  4.0
B2303+30  	    41.9	  3.6
B2306+55  	    72.6	 14.5
B2310+42  	    55.2	  6.5
J2317+1439	    27.5	  4.8
J2319+6411	   103.4	  7.3
B2327-20  	   197.7	  6.2
B2334+61  	    80.1	 10.2

