#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T12:12:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e44a2e0534	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/635/A75&tab:{J/A+A/635/A75/obssum}&key:source=J/A+A/635/A75/obssum&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/635/A75/obssum
#-order=I
#-out=Name
#-out=MinFreq
#-out=MaxFreq
#-out=l_S
#-out=S
#-out=e_S
#Simbad=Simbad
#

#RESOURCE=yCat_36350075
#Name: J/A+A/635/A75
#Title: LOFAR census of non-recycled pulsars sample (Bilous+, 2020)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_635_A75_obssum:
#Name: J/A+A/635/A75/obssum
#Title: Observation summary, flux densities, dispersion measures
#Column	Name	(A10)	Name of pulsar as in ATNF catalogue v.1.51	[ucd=meta.id;meta.main]
#Column	MinFreq	(F5.2)	Lower edge of analysed frequency range	[ucd=em.freq]
#Column	MaxFreq	(F5.2)	Upper edge of analysed frequency range	[ucd=em.freq]
#Column	l_S	(A1)	[<=] Upper limit flag for flux density measurement	[ucd=meta.code.error]
#Column	S	(F6.1)	Mean flux density in MinFreq-MaxFreq frequency range or upper limit for non-detected pulsars	[ucd=phot.flux.density;em.radio]
#Column	e_S	(I4)	? Uncertainty in mean flux density [NULL integer written as an empty string]	[ucd=stat.error]
Name	MinFreq	MaxFreq	l_S	S	e_S
B1508+55  	30.26	77.34	=	 390.0	 190
B1530+27  	42.13	77.22	=	  78.0	  40
B1541+09  	42.20	77.15	=	 310.0	 160
J1549+2113	42.29	77.10	<	  91.8	
J1612+2008	42.16	77.23	<	  55.1	
J1627+1419	42.11	77.21	<	  68.0	
B1633+24  	42.20	77.43	=	  72.0	  41
J1645+1012	42.17	77.19	=	  64.0	  39
J1649+2533	41.97	77.42	<	  68.8	
J1652+2651	42.10	77.23	<	  31.9	
J1720+2150	42.57	77.12	<	  57.6	
B1737+13  	42.06	77.23	=	  87.0	  47
J1741+2758	43.16	77.19	<	  56.3	
J1746+2245	42.09	77.24	<	  21.6	
J1752+2359	42.21	77.31	<	  51.3	
B1753+52  	42.11	77.23	<	  19.1	
J1758+3030	50.20	77.32	=	  44.0	  31
B1811+40  	42.17	77.17	=	  36.0	  22
J1838+1650	41.89	77.38	<	  92.5	
B1839+09  	42.21	77.26	=	 190.0	 100
B1839+56  	30.37	77.24	=	 440.0	 220
B1842+14  	42.20	77.20	=	 830.0	 420
J1900+30  	42.26	77.46	<	  48.7	
B1905+39  	42.22	77.26	<	  35.3	
B1919+21  	30.38	77.23	=	4600.0	2300
B1929+10  	30.40	77.12	=	 950.0	 480
B1946+35  	42.18	77.23	<	  79.5	
B1953+50  	42.05	77.27	=	  22.0	  17
J2017+2043	42.10	77.25	<	  43.1	
B2016+28  	30.38	77.25	=	 490.0	 250
B2020+28  	42.09	77.21	=	 120.0	  60
B2022+50  	42.09	77.24	=	  69.0	  38
B2034+19  	42.12	77.25	<	  25.7	
J2040+1657	42.04	77.33	<	  36.7	
B2044+15  	42.27	77.11	<	  48.1	
B2053+21  	42.10	77.24	<	  34.2	
B2113+14  	42.18	77.19	<	  46.0	
J2139+2242	42.10	77.25	<	  39.0	
B2154+40  	42.09	77.28	<	  45.2	
B2217+47  	30.32	77.24	=	1300.0	 600
B2224+65  	42.02	77.37	=	 370.0	 180
B2227+61  	42.01	77.23	<	  60.5	
J2253+1516	42.26	77.25	<	  42.5	
B2303+30  	42.22	77.32	=	  27.0	  21
B2303+46  	42.23	77.15	<	  44.5	
B2306+55  	42.14	77.17	=	 180.0	  90
B2310+42  	42.12	77.12	=	  66.0	  35
B2315+21  	30.37	77.06	=	  33.0	  19
