#PSR ℓ b DNE2001 DYMW16 W50 S1400 log(τc) log(B) log(E)
#(J2000) (°) (°) (kpc) (kpc) (ms) (μJy) (yr) (G) (erg s−1)
J1910+1026 44.426 0.503 14.9 15.8 13(4) 58(15) 4.5 13.1 34.8
J1911+0921 43.576 –0.207 5.0 6.4 15(4) 113(18) 8.4 10.8 31.5
J1911+0925 43.654 –0.227 6.9 8.1 19(3) 90(20) 6.2 12.0 33.6
J1911+1051 44.890 0.499 9.0 10.1 7(3) 51(13) 5.4 12.2 34.8
J1911+1301 46.792 1.538 10.5 11.6 16(8) 51(13) 6.9 12.1 31.9
J1911+1336 47.369 1.712 9.2 10.4 8(2) 72(19) 7.5 11.3 32.4
J1913+0523 40.243 –2.395 8.7 16.1 2(1) 25(7) 6.8 12.0 32.4
J1913+11025 45.289 0.151 13.2 11.4 31(7) 140(40) 7.6 11.8 31.2
J1914+0625 41.233 –2.092 5.8 8.3 49(3) 60(16) 7.5 11.8 31.4
J1914+0805 42.708 –1.307 8.1 10.7 29(4) 160(40) 8.4 11.1 31.1
J1914+0838 43.243 –1.124 7.1 8.1 4(2) 280(50) 7.1 11.7 32.4
J1914+1428 48.461 1.487 6.9 6.5 22(9) 57(15) 6.9 12.2 31.7
J1915+0639 41.655 –2.366 6.1 8.9 8(3) 41(11) 6.7 12.0 32.4
J1915+1145 46.129 0.082 8.0 7.2 5.6(7) 90(20) 8.3 10.7 32.1
J1915+1150 46.170 0.18 16.9 14.0 12(2) 47(12) 5.1 12.1 35.7
J1918+1311 47.759 0.055 6.8 6.2 7(3) 54(14) 6.8 12.1 32.2
J1921+0921 44.733 –2.418 4.8 6.1 10(4) 58(15) 6.0 12.4 33.3
J1921+1630 50.949 1.138 6.4 5.1 16(4) 48(13) 5.8 12.7 33.0
J1924+1628 51.337 0.331 14.8 10.5 13(2) 110(30) 7.3 11.5 32.4
J1924+1713 51.975 0.726 15.6 10.9 20(6) 36(6) 8.0 11.5 31.0
J1924+1917 53.782 1.725 9.8 8.6 4(1) 39(11) 8.0 11.7 30.6
J1926+1614 51.367 –0.226 1.9 1.3 8(1) 90(20) 8.2 11.0 31.7
J1928+1725a 52.641 –0.087 4.9 3.7 1.1(6) 1400(400)
J1930+1408 49.932 –1.962 6.9 5.9 8(3) 51(13) 9.6 10.5 30.0
J1930+1722 52.790 –0.45 6.6 4.7 59(13) 90(30) 7.5 12.1 30.9
J1931+1817 53.739 –0.303 12.9 9.6 18(2) 150(40) 4.5 12.7 35.5
J1934+1926 55.038 –0.256 4.1 3.2 22(4) 130(30) 9.1 10.4 30.9
J1935+1829 54.361 –0.999 9.9 8.6 16(7) 37(11) 6.8 12.2 32.2
J1936+2042 56.376 –0.074 6.6 5.0 40(11) 45(12) 5.6 12.9 32.9
J1938+2659 62.107 2.562 7.2 8.6 26(7) 80(20) 6.6 12.2 32.3
J1939+2609 61.501 1.951 3.1 2.7 4(2) 150(40) 9.2 10.7 30.3
J1948+1808 55.544 –3.782 9.4 11.3 15(3) 80(20) 7.4 11.5 32.2
J1948+2819 64.366 1.307 9.7 11.0 13(7) 46(8) 5.4 12.9 33.5
J1950+3001 66.087 1.749 8.3 8.7 6(2) 240(60) 5.5 13.3 32.4
J1952+2513 62.125 –0.98 8.1 8.4 19(8) 31(8) 7.2 12.0 31.5
J1952+3021 66.526 1.65 7.0 7.5 26(13) 23(6) 6.4 12.6 32.0
J1953+2819 64.926 0.374 7.1 7.6 19(4) 47(8) 6.9 12.2 31.9
J1954+2529 62.580 –1.229 6.8 7.8 16(7) 59(16) 7.1 12.0 31.8
J1955+2930 66.116 0.697 7.4 7.6 24(4) 72(19) 6.7 12.3 32.0
J1958+3033 67.350 0.691 7.1 7.3 13(9) 32(9) 6.4 12.4 32.3
J2000+2920 66.549 –0.353 5.4 6.7 26(12) 100(30) 6.1 13.0 31.7
J2003+2916 66.812 –0.903 7.3 7.5 35(8) 200(50) 7.7 11.8 31.1
J2008+3139 69.478 –0.639 7.3 7.2 3(2) 43(11) 7.6 11.1 32.5
