#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-14T11:55:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627f96275d6b1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AZh/77/499&tab:{J/AZh/77/499/table2}&key:source=J/AZh/77/499&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AZh/77/499/table2
#-order=I
#-out=PSR
#Link=VizieR
#Simbad=Simbad
#-out=Rem
#-out=l_Flux
#-out=Flux
#-out=e_Flux
#

#RESOURCE=yCat_80770499
#Name: J/AZh/77/499
#Title: Flux densities of 235 pulsars at 102.5MHz (Malofeev+, 2000)
#Table	J_AZh_77_499_table2:
#Name: J/AZh/77/499/table2
#Title: Flux densities of Pulsars at 102.5 MHz
#Column	PSR	(a10)	Name of pulsar (1)	[ucd=meta.id;meta.main]
#Column	Rem	(A2)	Remarks: MP - main impulse, IP - intermediate impulse	[ucd=meta.note]
#Column	l_Flux	(A1)	? Limit symbol on flux	[ucd=meta.code.error]
#Column	Flux	(I5)	Flux density at 102.5MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_Flux	(I4)	? Mean error on Flux [NULL integer written as an empty string]	[ucd=stat.error]
PSR	Rem	l_Flux	Flux	e_Flux
 0626+24  	  	 	  130	  80
J0631+1036	  	 	  180	  20
 0643+80  	  	 	   16	   7
 0656+14  	  	 	   55	  29
 0727-18  	  	<	  250	
J0751+1807	  	 	  290	  90
 0751+32  	  	 	   49	  20
 0756-15  	  	 	   60	  44
 0809+74  	  	 	 1080	 900
 0820+02  	  	 	  100	  46
 0823+26  	  	 	  620	 130
 0834+06  	  	 	 1040	 320
 0841+80  	  	 	   28	  17
 0906-17  	  	 	  320	 150
 0917+63  	  	 	   30	  11
 0919+06  	  	 	  128	  63
J0927+23  	  	 	   30	  13
 0942-13  	  	 	  100	  30
 0943+10  	  	 	  200	 200
J0943+22  	  	 	   77	  60
 0950+08  	  	 	 2030	2650
J1012+5307	MP	 	  100	  40
J1012+5307	IP	 	   85	  45
 1016-16  	  	 	  220	 120
J1022+10  	  	 	  100	  40
J1025-0709	  	 	  300	 120
 1039-19  	  	<	   50	
 1112+50  	  	 	   60	  14
 1133+16  	  	 	 1280	 550
 1237+25  	  	 	  260	 130
J1238+21  	  	 	   60	  22
J1246+22  	  	 	   30	  20
 1254-10  	  	 	  110	  60
 1257+12  	  	 	  220	 100
 1309-12  	  	 	   60	  35
 1310+18  	  	 	   80	  30
 1322+83  	  	 	   36	  12
 1508+55  	  	 	 1280	 500
 1516+02A 	  	 	  180	  50
 1540-06  	  	 	  130	  30
J1518+4904	  	 	   68	  20
 1530+27  	  	 	   94	  44
 1534+12  	MP	 	   90	  35
 1534+12  	IP	 	   80	  30
 1541+09  	  	 	  400	
J1549+2110	  	 	   66	  46
 1604-00  	  	 	  220	 100
 1607-13  	  	 	  160	  80
 1612+07  	  	 	  100	  40
 1620-09  	  	 	   40	  25
J1627+1419	  	 	   50	  26
 1633+24  	  	 	   50	  15
J1640+2224	  	 	  250	 130
 1639+36A 	  	 	  180	 100
 1642-03  	  	 	  300	 170
J1645+1012	  	 	   90	  60
 1648-17  	  	<	  260	
J1649+2533	  	 	   60	  30
J1652+2651	  	 	   40	  20
 1657-13  	  	 	   90	  50
 1700-18  	  	 	  190	 100
 1702-19  	  	 	  150	  50
 1709-15  	  	 	  200	 120
J1713+0747	  	 	  280	  75
 1717-16  	  	<	  190	
 1718-02  	  	 	   80	  40
J1720+2150	  	<	   60	
 1726-00  	  	 	   80	  40
 1730-22  	  	<	  290	
 1732-07  	  	 	  100	  36
 1732-02  	  	 	   80	  60
J1736+05  	  	 	   70	  24
 1737+13  	  	 	   80	  12
 1738-08  	  	 	  140	  83
 1740-13  	  	 	  370	 200
 1740-03  	  	 	   90	  40
J1741+2758	  	 	   30	  10
 1745-12  	  	 	  230	 180
J1752+2359	  	 	   40	  20
 1753+52  	  	 	   30	  12
 1758-03  	  	 	  100	  55
J1758+30  	  	 	   60	  40
 1802+03  	  	 	  110	  30
 1804-08  	  	 	  550	 340
J1808+00  	  	<	  190	
J1808-0813	  	 	  120	  50
 1810+02  	  	 	   35	  18
J1811+0702	  	 	  160	  50
 1822+00  	  	 	   60	  30
J1822+0705	  	 	   60	  20
 1823-11  	  	<	  150	
J1823-0154	  	 	  300	 170
 1829-08  	  	<	   80	
 1831-03  	  	 	  770	 400
 1831-00  	  	<	  540	
 1834-06  	  	 	   90	  60
J1834+10  	  	 	   80	  50
 1839-04  	  	 	  610	 340
 1839+56  	  	 	   50	  20
 1841-04  	  	<	  190	
 1844-04  	  	 	  100	  60
 1845-01  	  	 	  950	 550
 1846-06  	  	 	   90	  60
 1848+04  	  	 	  280	 180
 1848+12  	  	 	   70	  30
 1848+13  	  	 	   65	  10
 1853+01  	  	<	  220	
 1854+00  	  	 	  170	  90
 1855+02  	  	 	  340	 140
 1855+09  	  	 	  370	 120
 1859+03  	  	 	 1460	 920
 1900-06  	  	 	  140	  90
 1900+05  	  	 	  100	  30
 1902-01  	  	 	  280	 170
 1903+07  	  	<	  180	
J1904+0004	  	<	   60	
 1907-03  	  	 	  220	 160
 1907+02  	  	 	  110	  50
 1907+10  	  	 	  250	 120
 1907+12  	  	 	  100	  50
 1911+13  	  	 	   55	  25
 1913+10  	  	 	  220	  50
 1914+09  	  	 	  230	  85
 1914+13  	  	 	  530	 390
 1915+13  	  	 	  140	 100
 1918+26  	  	 	   30	  11
 1919+14  	  	 	  210	 110
 1919+21  	  	 	 1900	 600
 1920+20  	  	<	  130	
 1923+04  	  	 	   50	  30
 1924+14  	  	 	  160	  80
 1924+16  	  	 	  140	  90
 1929+10  	  	 	  950	 660
 1929+20  	  	 	  550	 300
 1930+22  	  	 	   90	  20
 1935+25  	  	<	  100	
 1937+21  	  	>	 2200	1100
 1942-00  	  	 	   90	  50
 1943+18  	  	<	   60	
J1946+2611	  	 	  115	  60
 1946+35  	  	 	   60	  40
 1951+32  	  	 	  220	 170
 1953+50  	  	 	  170	  50
 2000+32  	  	 	   80	  30
 2000+40  	  	 	  170	  80
 2002+31  	  	<	   35	
 2003-08  	  	 	  190	  50
J2008+2513	  	 	   60	  30
 2011+38  	  	 	   95	  40
 2016+28  	  	 	  260	 100
J2019+2425	  	 	  170	  80
 2020+28  	  	 	  340	 140
 2021+51  	  	 	   60	  25
 2022+50  	  	 	   30	  20
 2025+21  	  	 	   30	  10
 2028+22  	  	 	   22	  10
J2033+17  	  	 	  200	  60
 2035+36  	  	 	   34	  10
 2036+53  	  	 	   30	  17
 2043-04  	  	 	   45	  20
J2043+2740	  	 	  190	  80
 2044+46  	  	<	  110	
 2045+56  	  	 	   34	  11
 2053+36  	  	 	   80	  20
 2110+27  	  	 	  130	  30
 2111+46  	  	 	  430	 110
 2122+13  	  	 	   55	  25
 2127+11A 	  	 	   40	  23
J2139+2242	  	 	   30	  10
J2145-0750	  	 	   90	  50
 2148+52  	  	 	   40	  24
 2148+63  	  	 	   20	   8
 2154+40  	  	 	  200	  70
J2156+2618	  	<	   40	
J2205+1444	  	 	   60	  20
 2210+29  	  	 	   50	  20
J2215+1538	  	 	   30	  16
 2217+47  	  	 	 1200	 400
 2227+61  	  	 	   60	  10
J2229+2643	  	 	  270	 200
J2234+2114	  	 	   35	  13
J2235+1506	  	 	   90	  40
 2241+69  	  	 	   30	  20
J2248-0101	  	 	  120	  50
J2253+1516	  	 	   45	  20
 2303+46  	  	 	   20	  10
J2307+2225	  	 	   30	  13
 2310+42  	  	 	  110	  90
 2315+21  	  	 	  100	  30
J2317+1439	  	 	  120	  50
 2324+60  	  	 	  120	  40
 2334+61  	  	 	   75	  30
J2347-0612	  	 	   70	  40
 2351+61  	  	 	   30	  10
