#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-30T05:29:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e4bc9d3384d6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/352/1439&tab:{J/MNRAS/352/1439/psr}&key:source=J/MNRAS/352/1439/psr&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/352/1439/psr
#-order=I
#-out=PSRJ
#-out=S1.4
#-out=e_S1.4
#Simbad=Simbad
#

#RESOURCE=yCat_73521439
#Name: J/MNRAS/352/1439
#Title: Parkes Multi-Beam Pulsar Survey. IV. (Hobbs+, 2004)
#Table	J_MNRAS_352_1439_psr:
#Name: J/MNRAS/352/1439/psr
#Title: Pulsars discovered in the Parkes multibeam pulsar survey (tables 1, 2 and 4 of paper)
#Column	PSRJ	(A10)	PSRJ designation	[ucd=meta.id;meta.main]
#Column	S1.4	(F6.3)	Flux density at 1400MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F6.3)	rms uncertainty on S1400MHz	[ucd=stat.error]
PSRJ	S1.4	e_S1.4
1736-2843 	 0.430	 0.050
1737-3320 	 0.350	 0.040
1738-2647 	 0.440	 0.050
1738-3107 	 0.260	 0.040
1738-3316 	 0.550	 0.070
1740-2540 	 0.160	 0.030
1740-3327 	 0.300	 0.040
1743-2442 	 0.140	 0.020
1745-2229 	 0.130	 0.020
1749-2347 	 0.130	 0.020
1750-2444 	 0.270	 0.040
1752-2410 	 0.470	 0.060
1754-3443 	 0.490	 0.060
1755-25211	 0.170	 0.030
1755-2534 	 0.170	 0.030
1756-2225 	 0.250	 0.040
1758-1931 	 0.380	 0.050
1759-1903 	 0.160	 0.030
1759-3107 	 0.910	 0.100
1800-2114 	 0.300	 0.040
1801-2115 	 0.190	 0.030
1801-2154 	 0.180	 0.030
1803-1616 	 0.160	 0.030
1803-1920 	 0.270	 0.040
1805-2447 	 0.270	 0.040
1806-1618 	 0.220	 0.030
1809-1850 	 0.200	 0.030
1810-1441 	 0.210	 0.030
1812-1910 	 0.220	 0.030
1813-2242 	 0.210	 0.030
1815-1738 	 0.250	 0.040
1816-1446 	 0.230	 0.030
1817-1511 	 0.430	 0.050
1818-1116 	 0.500	 0.060
1819-0925 	 0.720	 0.080
1819-1008 	 0.350	 0.040
1819-1131 	 0.150	 0.030
1820-1529 	 0.610	 0.070
1821-1419 	 0.200	 0.030
1822-0907 	 0.120	 0.020
1822-1252 	 0.250	 0.040
1822-1617 	 0.200	 0.030
1823-1126 	 0.510	 0.060
1823-1526 	 0.470	 0.060
1824-1500 	 0.160	 0.030
1828-0611 	 1.200	 0.130
1828-1007 	 0.210	 0.030
1828-1057 	 0.230	 0.030
1831-0823 	 0.970	 0.110
1831-1423 	 0.190	 0.030
1833-0556 	 0.200	 0.030
1834-0633 	 0.280	 0.040
1834-0731 	 1.000	 0.110
1834-0742 	 0.350	 0.040
1834-1202 	 0.700	 0.080
1835-0522 	 0.230	 0.030
1836-0517 	 0.150	 0.030
1838-0549 	 0.290	 0.040
1838-0624 	 0.160	 0.030
1839-0905 	 0.160	 0.030
1840-0559 	 0.310	 0.040
1840-0809 	 2.300	 0.200
1840-0815 	 1.400	 0.150
1840-1122 	 0.130	 0.020
1841-0157 	 0.810	 0.090
1841-0310 	 0.150	 0.030
1841-0524 	 0.200	 0.030
1842-0309 	 0.250	 0.040
1842-0612 	 0.540	 0.060
1843-0000 	 2.900	 0.300
1843-0137 	 0.260	 0.040
1843-0211 	 0.930	 0.100
1843-0408 	 0.170	 0.030
1843-0702 	 0.170	 0.030
1843-0806 	 0.360	 0.050
1843-1113 	 0.100	 0.020
1844-0030 	 0.420	 0.050
1844-0452 	 0.190	 0.030
1844-0502 	 0.400	 0.050
1845-0545 	 0.470	 0.060
1846+0051 	 0.340	 0.090
1847-0130 	 0.330	 0.040
1847-0443 	 0.160	 0.030
1848-0023 	 0.600	 0.300
1848-0055 	 0.190	 0.030
1848-0511 	 0.400	 0.050
1849-0040 	 0.200	 0.030
1849-0614 	 0.590	 0.070
1850-0031 	 0.230	 0.030
1851+0118 	 0.100	 0.020
1851-0053 	 1.000	 0.110
1851-0241 	 0.200	 0.030
1852+0008 	 0.310	 0.040
1852+0013 	 0.300	 0.040
1852-0118 	 0.350	 0.040
1852-0127 	 0.580	 0.070
1852-0635 	 5.900	 0.600
1853+0011 	 0.300	 0.080
1853+0505 	 1.500	 0.160
1853-0004 	 0.870	 0.100
1855+0307 	 0.970	 0.110
1855+0700 	 0.100	 0.020
1856+0102 	 0.380	 0.110
1857+0143 	 0.740	 0.180
1857+0809 	 0.140	 0.020
1858+0241 	 0.100	 0.020
1859+0601 	 0.300	 0.040
1900+0634 	 0.240	 0.090
1900-0051 	 0.450	 0.060
1901+0124 	 0.300	 0.040
1901+0254 	 0.580	 0.070
1901+0320 	 0.890	 0.100
1901+0355 	 0.150	 0.030
1901+0510 	 0.660	 0.080
1901-0312 	 0.230	 0.030
1902+0248 	 0.170	 0.030
1902-0340 	 0.220	 0.030
1903+0601 	 0.260	 0.040
1905+0400 	 0.050	 0.010
1905+0600 	 0.420	 0.050
1906+0649 	 0.300	 0.040
1907+0249 	 0.460	 0.120
1907+0345 	 0.170	 0.030
1907+0731 	 0.350	 0.040
1907+0918 	 0.290	 0.040
1910+0225 	 0.600	 0.200
1910+0728 	 0.870	 0.100
1913+1000 	 0.530	 0.060
1914+0631 	 0.260	 0.100
1915+0838 	 0.290	 0.040
1916+0844 	 0.440	 0.050
1916+0852 	 0.130	 0.020
1916+1023 	 0.360	 0.050
1920+1040 	 0.570	 0.070
1937+1505 	 0.130	 0.020

