#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-29T13:12:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e3dc6e1fec6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/892/76&tab:{J/ApJ/892/76/tablea1}&key:source=J/ApJ/892/76/tablea1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/892/76/tablea1
#-order=I
#-out=PSR
#-out=S350MHz
#-out=e_S350MHz
#Simbad=Simbad
#

#RESOURCE=yCat_18920076
#Name: J/ApJ/892/76
#Title: The GBNCC pulsar survey. V. Pulsar census (McEwen+, 2020)
#Table	J_ApJ_892_76_tablea1:
#Name: J/ApJ/892/76/tablea1
#Title: Pulsar detections in the Green Bank North Celestial Cap (GBNCC) survey
#Column	PSR	(A11)	Pulsar name (JHHMM+DDMMA, JHHMM+DDMMm, JHHMM+DD or JHHMM+DDd)	[ucd=meta.id;meta.main]
#Column	S350MHz	(F8.3)	[0.25/1014] Flux density at 350MHz, measured from GBNCC	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S350MHz	(F7.3)	[0.06/501] Uncertainty on S350MHz	[ucd=stat.error]
PSR	S350MHz	e_S350MHz
J0212+5222 	   1.365	  0.285
J0214+5222 	   2.403	  0.382
J0215+6218 	   6.999	  0.828
J0218+4232 	  28.547	  4.491
J0231+7026 	   3.614	  0.730
J0242+62   	   9.657	  1.136
J0243+6027 	   2.363	  0.331
J0301+35   	   0.634	  0.141
J0323+3944 	  11.270	  1.835
J0324+5239 	   1.704	  0.505
J0325+67   	   1.302	  0.199
J0332+5434 	 507.199	 63.905
J0335+4555 	   0.837	  0.699
J0335+6623 	   1.496	  0.214
J0341+5711 	   2.668	  0.629
J0343+06   	   1.072	  0.270
J0343-3000 	   0.381	  0.103
J0343+5312 	   6.684	  0.831
J0348+0432 	   1.896	  0.625
J0355+28   	   0.811	  0.161
J0357+5236 	   9.867	  1.128
J0358+42   	   2.207	  0.339
J0358+5413 	  15.269	  1.912
J0358+66   	   0.812	  0.214
J0405+3347 	   0.422	  0.076
J0406+30   	   3.790	  0.666
J0406+6138 	  14.214	  1.869
J0408+552  	  15.760	  3.483
J0410-31   	   7.824	  1.998
J0413+58   	   4.071	  2.063
J0414+31   	   0.753	  0.231
J0415+6954 	   6.024	  0.947
J0417+35   	   1.607	  0.287
J0417+61   	   0.825	  0.175
J0421-0345 	   2.799	  0.719
J0426+4933 	   1.423	  0.253
J0448-2749 	   1.016	  0.232
J0450-1248 	  10.843	  2.340
J0452-1759 	  43.604	  9.069
J0454+5543 	  24.800	  3.405
J0458-0505 	   1.216	  0.312
J0459-0210 	   3.406	  0.696
J0502+4654 	   8.576	  1.046
J0510+38   	   2.511	  0.398
J0519+54   	   1.229	  0.178
J0520-2553 	   2.878	  0.690
J0530-39   	   1.111	  0.266
J0533+0402 	   4.641	  0.731
J0534-13   	   1.031	  0.226
J0540+3207 	   6.731	  1.028
J0555+3948 	   2.303	  0.446
J0557-2948 	   0.922	  0.228
J0601-0527 	  12.111	  2.091
J0608+00   	   1.118	  0.238
J0610-2100 	   2.191	  0.451
J0610+37   	   7.859	  1.432
J0611+1436 	   2.043	  0.828
J0612+3721 	  12.725	  2.049
J0613-0200 	   8.807	  1.719
J0613+3731 	   1.662	  0.366
J0614-3329 	   2.650	  0.636
J0614+83   	   1.013	  0.208
J0621+0336 	   3.339	  0.535
J0624-0424 	   6.468	  1.088
J0627+0649 	   3.430	  0.523
J0627+0706 	   7.411	  1.054
J0630-0046 	   1.655	  0.548
J0630-2834 	  39.198	  8.087
J0636-23   	   0.652	  0.195
J0636+5129 	   1.526	  0.280
J0645+5158 	   2.942	  0.550
J0645+80   	   2.129	  0.404
J0648-27   	   0.754	  0.156
J0652-0142 	   1.390	  0.268
J0653+8051 	   4.555	  0.891
J0656-2228 	   0.855	  0.173
J0659+1414 	   3.939	  0.715
J0659-36   	   0.430	  0.109
J0700+6418 	  12.278	  2.085
J0709+05   	   0.887	  0.354
J0719-2545 	   4.114	  0.667
J0721-2038 	   2.188	  0.449
J0725-1635 	   1.274	  0.210
J0726-2612 	   1.236	  0.228
J0729-1448 	   3.533	  0.624
J0729-1836 	   8.602	  1.354
J0733-2345 	   0.793	  0.197
J0737-2202 	   2.312	  0.388
J0737-3039A	  26.532	  4.058
J0737+69   	   2.271	  0.474
J0740+41   	   2.054	  0.425
J0740+6620 	   7.818	  1.414
J0742-2822 	 129.390	 21.357
J0746+66   	   0.719	  0.290
J0750+57   	   1.556	  0.275
J0754+3231 	   3.625	  0.708
J0758-1528 	   3.838	  0.741
J0758-30   	   1.621	  0.290
J0804-3647 	   3.373	  0.618
J0808-3937 	   1.178	  0.304
J0812-3905 	   3.048	  0.531
J0814+7429 	   9.141	  1.897
J0815+4611 	   2.528	  0.714
J0818-3049 	   2.864	  0.538
J0818-3232 	   2.069	  0.379
J0820-1350 	  42.725	  9.320
J0820-3826 	   2.221	  0.672
J0820-3921 	   8.137	  1.119
J0823+0159 	   8.920	  2.039
J0826+2637 	  31.733	  7.002
J0828-3417 	 130.134	 20.306
J0835-3707 	   3.279	  1.782
J0837+0610 	  27.013	  6.347
J0838-2621 	   2.459	  0.590
J0846-3533 	   9.876	  1.503
J0849+8028 	   2.043	  0.441
J0855-3331 	  12.014	  1.926
J0908-1739 	   7.226	  1.697
J0912-3851 	   1.700	  0.406
J0921+6254 	   3.424	  0.641
J0922+0638 	  16.545	  4.037
J0928+06   	   0.937	  0.302
J0930-2301 	   1.233	  0.268
J0931-1902 	   1.696	  0.442
J0932-3217 	   2.165	  0.345
J0943+41   	   1.223	  0.290
J0944-1354 	   7.279	  1.622
J0947+2740 	   3.948	  0.944
J0952-3839 	   5.885	  1.063
J1012-2337 	  10.632	  2.279
J1012+5307 	   8.982	  2.019
J1018-1523 	   0.493	  0.170
J1018-1642 	   6.019	  1.288
J1024-0719 	   5.745	  1.335
J1034-3224 	  14.779	  2.997
J1038+0032 	   2.490	  0.719
J1041-1942 	   8.469	  1.732
J1045-0436 	   2.926	  0.690
J1046+0304 	   0.250	  0.064
J1047-3032 	   5.708	  1.156
J1101+65   	   0.624	  0.140
J1110+58   	   0.662	  0.139
J1115+5030 	   7.271	  1.645
J1116-2444 	   2.730	  0.634
J1120-24   	   0.456	  0.111
J1122-3546 	   1.746	  0.334
J1125+7819 	   8.162	  1.653
J1126-27   	   0.291	  0.121
J1126-38   	  10.877	  2.292
J1134+24   	   1.874	  0.829
J1141-3107 	   4.593	  0.952
J1141-3322 	   2.659	  0.515
J1154-19   	   1.487	  0.310
J1221-0633 	   0.984	  0.193
J1231-1411 	   1.798	  0.367
J1234-3630 	   2.985	  0.542
J1235-02   	   3.698	  0.672
J1239+2453 	  76.688	 16.018
J1239+32   	   2.439	  2.843
J1257-1027 	   7.747	  1.493
J1300+1240 	   5.158	  1.020
J1308-23   	   3.341	  0.628
J1311-1228 	  10.262	  1.992
J1317-0157 	   1.744	  0.465
J1320-3512 	   1.739	  0.271
J1320+67   	   0.896	  0.176
J1321+8323 	   7.631	  1.524
J1327-0755 	   2.335	  0.542
J1327+34   	   3.774	  0.780
J1332-3032 	  14.040	  2.082
J1335-3642 	   5.345	  0.881
J1336-2522 	   2.875	  0.504
J1358-2533 	   0.696	  0.493
J1400-1431 	   5.033	  0.971
J1411+2551 	   1.126	  0.234
J1418-3921 	  13.597	  1.815
J1434+7257 	   2.197	  0.649
J1439+76   	   0.411	  0.092
J1455-3330 	   8.797	  1.267
J1501-0046 	   2.254	  0.420
J1505-25   	   1.126	  0.184
J1509+5531 	  54.974	 10.922
J1515-32   	  37.684	  5.362
J1518-0627 	   1.159	  0.632
J1518-3950 	   4.914	  0.613
J1518+4904 	   7.729	  1.527
J1524-33   	   2.086	  0.537
J1527-3931 	  12.442	  1.502
J1528-3146 	   2.735	  0.560
J1529-26   	   9.409	  1.490
J1529-3828 	   1.326	  0.925
J1530-21   	   0.921	  0.154
J1532+2745 	   7.548	  1.371
J1536-30   	   1.753	  0.345
J1536-3602 	   5.204	  0.660
J1543-0620 	  10.226	  1.782
J1544+4937 	   6.192	  1.301
J1547-0944 	   1.792	  0.320
J1555-0515 	   1.490	  0.261
J1555-2341 	   7.808	  1.104
J1555-3134 	  17.492	  2.363
J1600-3053 	   6.361	  1.989
J1603-2531 	   3.536	  0.745
J1603-2712 	  15.463	  2.021
J1607-0032 	  22.515	  3.660
J1611-29   	   3.597	  0.823
J1612-2408 	   8.851	  1.176
J1614-2230 	   5.615	  0.883
J1614-23   	   1.925	  0.311
J1614-3937 	  10.913	  1.095
J1615-2940 	   5.544	  0.761
J1622-3751 	   1.666	  0.483
J1623-0908 	   6.541	  1.091
J1623-2631 	   9.359	  1.281
J1627+86   	   0.628	  0.137
J1629+33   	   0.854	  0.158
J1629-3827 	   2.398	  0.272
J1629+43   	   1.906	  0.393
J1630+37   	 445.919	 95.706
J1632-1013 	   1.637	  0.248
J1636-2614 	   3.272	  0.450
J1638-35   	   2.658	  0.416
J1638-3815 	   1.315	  0.266
J1641-2347 	   2.487	  0.347
J1643-10   	   2.363	  0.803
J1644-33   	   3.692	  0.374
J1645-0317 	 111.683	 15.849
J1646-2142 	   3.936	  1.173
J1647-3607 	   1.603	  1.333
J1647+66   	   2.853	  0.498
J1648-3256 	   4.680	  0.523
J1649+2533 	   2.717	  0.461
J1649+80   	   1.642	  0.333
J1652-2404 	  14.943	  1.664
J1652+2651 	  12.848	  2.095
J1654-2636 	   4.206	  0.849
J1654-2713 	   3.333	  0.526
J1655-3048 	  10.693	  1.337
J1700-3312 	   5.342	  0.708
J1700-3611 	   3.213	  0.609
J1701-3130 	   3.193	  0.869
J1703-3241 	  54.870	  4.967
J1705-3423 	  14.487	  3.939
J1706+59   	  27.288	  4.763
J1708-3426 	  12.351	  5.353
J1710-2616 	   5.167	  0.959
J1710+49   	   1.295	  0.323
J1712-2715 	   9.637	  0.872
J1720-0212 	  27.435	  3.306
J1720-2446 	   3.743	  1.076
J1720-2933 	  47.479	  4.091
J1721-2457 	   4.682	  3.440
J1722+35   	   0.940	  0.292
J1722-3207 	  49.100	  3.841
J1722-3712 	  40.688	  4.952
J1725-0732 	   2.881	  0.870
J1727-2739 	   5.746	  0.861
J1728-0007 	   9.239	  3.109
J1729-2117 	   2.265	  0.636
J1730-2304 	  23.923	  2.320
J1733-01   	   0.980	  0.383
J1733-2228 	  25.128	  2.223
J1734-0212 	   2.695	  0.497
J1734-2415 	   1.497	  0.399
J1735-0243 	   3.319	  0.618
J1735-0724 	  18.785	  2.033
J1736-2457 	   4.753	  1.218
J1738-2330 	   6.718	  5.757
J1738-3211 	  16.474	 12.202
J1739-2903 	  12.845	  8.529
J1740+27   	   1.706	  0.481
J1740-3015 	  30.489	  3.394
J1741-0840 	  24.769	  6.892
J1741-21   	   2.118	  1.091
J1741-2733 	  16.664	  1.807
J1741+2758 	   2.757	  0.524
J1741-3927 	  27.595	  2.710
J1742-0203 	   1.749	  0.676
J1742-3957 	   4.859	  0.662
J1743-0339 	   5.897	  1.301
J1743-3150 	  45.776	  8.905
J1744-2335 	  11.515	  8.347
J1745-0129 	   1.848	  0.930
J1745-3040 	 153.904	 11.598
J1745-3812 	   1.385	  5.674
J1746+2245 	   1.514	  0.327
J1746+2540 	   1.223	  0.286
J1750-3503 	  17.000	  1.514
J1752+2359 	   2.682	  0.707
J1752-2806 	 934.768	 82.179
J1753-38   	   7.165	  4.663
J1754-3443 	  10.194	  1.396
J1754-3510 	   3.897	  1.046
J1754+5201 	   2.476	  0.498
J1755-0903 	   6.411	  0.797
J1755-2725 	   6.882	  1.902
J1758+3030 	   7.495	  1.333
J1759-1029 	  11.120	  1.976
J1759-2205 	  27.335	  7.673
J1759-2922 	  14.443	  2.983
J1759-3107 	   5.776	  1.550
J1800-0125 	   3.356	  0.975
J1800+5034 	   2.095	  0.396
J1801-0357 	  11.711	  1.178
J1801-2920 	  28.466	  2.445
J1802+0128 	   2.099	  1.344
J1803-3329 	   2.869	  0.827
J1804-2717 	  11.703	  2.239
J1804-28   	   4.558	  1.495
J1805+0306 	   8.328	  4.927
J1805-0619 	   2.163	  1.598
J1806+2819 	   3.990	  0.726
J1807-0847 	  32.420	  2.826
J1807-2715 	  19.417	  3.051
J1808+00   	   5.029	  2.978
J1808-0813 	  14.885	  2.720
J1808-3249 	   4.715	  1.308
J1809-0119 	   2.513	  0.615
J1809-3547 	  14.569	  2.032
J1811-0154 	   3.423	  1.153
J1811-2439 	  13.882	  2.058
J1812+0226 	   5.103	  1.070
J1812-3039 	   2.093	  0.673
J1813+4013 	  12.186	  2.274
J1814-0521 	   8.780	  3.951
J1815+55   	   0.666	  0.457
J1816-0755 	   5.009	  0.520
J1816-2650 	  24.974	  2.398
J1816+4510 	  10.053	  2.175
J1817-3618 	  14.414	  1.532
J1817-3837 	   5.686	  0.669
J1819-37   	   4.283	  0.583
J1820-0427 	  29.263	  2.425
J1820-0509 	   7.588	  1.609
J1821+0155 	   1.879	  0.500
J1821+41   	   0.890	  0.192
J1822+02   	   3.545	  0.522
J1822-2256 	  28.919	  2.517
J1823-0154 	   6.537	  2.201
J1823-3021A	  18.954	  3.228
J1823-3021B	   3.311	  0.637
J1823-3106 	  19.426	  1.940
J1824-0127 	   7.668	  0.945
J1824-2328 	   6.097	  1.100
J1825+0004 	   7.703	  1.041
J1825-0935 	  48.523	  3.736
J1825-31   	   1.578	  1.651
J1829+0000 	   5.049	  1.180
J1829+25   	   0.827	  0.152
J1831-0823 	   3.714	  0.623
J1832-0827 	  16.982	  5.030
J1833-0338 	  62.277	  6.631
J1834-0010 	   7.136	  2.415
J1834-0426 	 149.797	 12.326
J1835-1020 	   7.419	  9.244
J1836-1008 	  36.594	  7.543
J1836+51   	   0.412	  0.479
J1837-0045 	   5.578	  0.492
J1838-1046 	   6.112	  1.479
J1839-0627 	  10.537	  4.357
J1840-0840 	  17.040	  8.345
J1840+5640 	  23.198	  3.647
J1842+0257 	  10.236	  3.032
J1842-39   	   3.959	  1.461
J1843-0000 	  10.157	  0.964
J1844+00   	  18.857	  3.275
J1844-0433 	  14.514	  2.130
J1846-07492	  14.066	  6.811
J1847-0402 	  55.628	  8.974
J1848-0023 	   4.146	  2.643
J1848-0123 	  50.720	  6.629
J1849-0317 	  14.634	  5.631
J1849-0614 	   8.104	  3.697
J1849-0636 	  31.837	  5.618
J1849+2423 	   1.786	  1.048
J1850+0026 	   9.594	  1.152
J1851-0053 	  11.423	  2.995
J1852-2610 	  19.363	  2.745
J1854+36   	   1.676	  0.774
J1855-0941 	   8.066	  1.824
J1856+0113 	   3.606	  0.994
J1856-0526 	   9.172	  2.350
J1857+0057 	  11.320	  2.214
J1857-1027 	  11.604	  1.453
J1859+00   	  19.035	  3.151
J1859+76   	   0.753	  0.215
J1900-2600 	 104.848	 12.504
J1900-0933 	   2.559	  3.184
J1900+30   	   2.089	  0.346
J1901+0156 	  21.264	  2.102
J1901-04   	   6.364	  2.350
J1901-0906 	   8.271	  1.280
J1902-1036 	   2.508	  0.687
J1903+0135 	  45.138	  4.300
J1903-0258 	   4.183	  3.138
J1903-0632 	  29.806	  4.257
J1903-0848 	   4.874	  3.685
J1903+2225 	   0.914	  0.848
J1904+0004 	   8.185	  0.916
J1904+33   	   1.137	  0.230
J1905-0056 	  12.787	  1.290
J1907+4002 	  15.951	  2.681
J1907+57   	   1.678	  0.353
J1908+2351 	   0.812	  0.119
J1909-3744 	   6.553	  1.375
J1909+0007 	  14.759	  1.925
J1909+0254 	  24.878	  2.964
J1910+0225 	   4.546	  2.394
J1910-0309 	  24.351	  2.761
J1911-1114 	  16.706	  2.642
J1912+2104 	   4.636	  0.708
J1912+2525 	   2.038	  0.388
J1913-0440 	  21.134	  2.882
J1913+3732 	   4.458	  0.834
J1914+0219 	   7.529	  1.008
J1915+0227 	  13.562	  1.821
J1916+32   	   1.130	  1.128
J1917+2224 	   5.043	  0.731
J1917-30   	   3.921	  0.524
J1918-0642 	  10.287	  1.451
J1918-1052 	   2.986	  0.593
J1919+0021 	  14.206	  1.533
J1920+2650 	  10.942	  1.467
J1921-05B  	   2.306	  1.508
J1921-05A  	   1.842	  0.430
J1921+1948 	  17.892	  8.879
J1921+2153 	  25.531	  3.098
J1921+42   	  32.100	  5.150
J1922+2018 	   2.816	  1.477
J1922+2110 	  15.188	  1.733
J1922+58   	   0.912	  0.219
J1923+2515 	   4.551	  0.602
J1927+2234 	   3.091	  1.511
J1928+28   	   1.287	  0.272
J1929+00   	   3.325	  0.396
J1929+3817 	   4.012	  0.653
J1929+62   	   0.667	  0.123
J1929+66   	   0.502	  0.098
J1930-01   	  48.494	  5.686
J1931+30   	   2.002	  1.757
J1932+2020 	  19.447	  1.888
J1932+2220 	   5.251	  0.629
J1932-3655 	   1.787	  0.339
J1935+52   	   1.796	  0.294
J1937+2544 	  15.676	  1.633
J1937+2950 	   4.528	  0.712
J1939+66   	   1.396	  0.267
J1939+2134 	  36.766	  3.645
J1939+2449 	   7.434	  1.736
J1940-2403 	   8.682	  1.350
J1940-24   	   4.986	  0.770
J1941+0121 	   5.651	  0.742
J1941+0237 	   7.081	  1.199
J1941-2602 	   5.645	  0.881
J1941+43   	   1.421	  0.215
J1942+81   	   0.525	  0.106
J1943-1237 	  14.189	  2.149
J1945-0040 	  17.240	  2.259
J1946-09   	   0.975	  0.434
J1946-1312 	   1.871	  0.304
J1946+2244 	   1.869	  0.260
J1946-2913 	   7.701	  1.194
J1948-27   	   0.756	  0.165
J1948+3540 	  17.485	  2.165
J1949-2524 	   5.438	  0.890
J1949+34   	   3.305	  0.489
J1952+3252 	  10.762	  1.087
J1953+2732 	   1.345	  0.257
J1953+67   	   1.352	  0.416
J1954+2923 	  14.120	  1.496
J1954+3852 	  11.332	  2.338
J1954+43   	   3.006	  1.348
J1955+2908 	  20.527	  2.597
J1955+5059 	  20.783	  2.995
J1957+2831 	   2.075	  0.218
J1959+2048 	  16.477	  2.271
J2000+29   	   1.490	  0.317
J2001+42   	   1.601	  0.226
J2002+30   	   3.586	  0.565
J2002+3217 	   3.949	  0.493
J2002+4050 	  36.310	  3.599
J2004+3137 	  13.649	  1.702
J2005-0020 	   4.260	  0.898
J2006-0807 	  31.517	  5.253
J2006+22   	   1.578	  1.334
J2008+2513 	   2.028	  0.444
J2010-1323 	   2.984	  0.599
J2010+2845 	   4.535	  0.511
J2012-2029 	   4.971	  1.919
J2013-0649 	   2.720	  0.492
J2013+3058 	   1.722	  0.202
J2013+3845 	  20.210	  1.826
J2015+2524 	   0.979	  0.258
J2016+1948 	   4.091	  0.719
J2017-0414 	   0.910	  0.254
J2017+2043 	   3.230	  0.451
J2017-2737 	   3.075	  0.587
J2017+59   	   1.757	  0.286
J2018+2839 	  96.058	 11.600
J2019+2425 	   4.131	  1.441
J2019+72   	   1.770	  0.354
J2022+2534 	   6.807	  0.951
J2022+2854 	  84.071	  9.872
J2022+5154 	  17.600	  2.606
J2023+5037 	   6.334	  0.879
J2027+4557 	   7.871	  0.805
J2027+74   	   3.007	  0.551
J2029+3744 	  17.081	  1.460
J2030+2228 	   4.328	  0.709
J2030+55   	   1.390	  0.227
J2033+0042 	   9.107	  1.768
J2033-1938 	   1.959	  0.502
J2036+2835 	   2.959	  0.427
J2037+1942 	   5.697	  1.019
J2037+3621 	  10.062	  1.433
J2038+35   	   1.785	  0.602
J2038-3816 	   2.901	  0.523
J2038+5319 	   1.945	  0.286
J2039-3616 	   1.359	  0.311
J2040-21   	   3.083	  0.569
J2043+2740 	  10.228	  1.348
J2043+7045 	   3.653	  0.667
J2044+28   	   1.072	  0.168
J2044+4614 	   6.910	  0.858
J2046-0421 	  13.503	  2.575
J2046+5708 	   2.543	  0.580
J2048-1616 	  52.092	  9.006
J2048+2255 	   1.466	  1.326
J2051-0827 	   7.683	  1.515
J2054-39   	   1.590	  0.302
J2055+2209 	   9.368	  1.408
J2055+3630 	  14.080	  1.842
J2102+38   	   3.515	  0.674
J2105+28   	   0.656	  0.160
J2108-3429 	   2.327	  0.445
J2108+4441 	  28.785	  3.464
J2111+2106 	   2.048	  0.385
J2113+2754 	   5.733	  1.003
J2113+4644 	 173.727	 22.746
J2113+67   	   0.667	  1.580
J2123+36   	   1.278	  0.196
J2122+54   	   1.220	  0.154
J2124-3358 	   7.540	  1.443
J2129-0429 	  30.371	  5.913
J2131-31   	   1.092	  0.244
J2136-1606 	   2.126	  0.415
J2137+64   	   0.903	  0.141
J2138+4911 	   7.989	  0.919
J2139+00   	   4.602	  0.947
J2139+2242 	  15.911	  2.586
J2144-3933 	   2.827	  0.669
J2145-0750 	  98.418	 18.253
J2145+21   	   0.617	  1.039
J2148-34   	   0.841	  0.176
J2149+6329 	  21.590	  2.683
J2150-03   	   1.587	  0.456
J2150+5247 	   7.955	  0.938
J2151+2315 	   1.073	  0.247
J2154-2812 	   1.600	  0.347
J2155+2813 	   1.093	  0.212
J2155-3118 	  10.864	  2.289
J2156+2618 	   1.845	  0.435
J2157+4017 	  20.188	  2.944
J2158-27   	   9.929	  2.308
J2202+21   	   0.574	  0.214
J2203+50   	1013.447	500.048
J2205+1444 	   1.852	  0.344
J2206+6151 	   2.871	  0.437
J2207-15   	   0.768	  0.174
J2207+40   	   2.571	  0.388
J2208+5500 	   6.760	  0.815
J2210+21   	   1.945	  0.343
J2210+57   	   1.284	  0.179
J2212+2933 	   3.687	  0.663
J2214+3000 	   1.980	  0.423
J2217+5733 	   5.262	  0.585
J2219+4754 	  86.005	 14.417
J2222-0137 	   3.491	  0.928
J2222+2923 	   2.142	  0.399
J2222+5602 	   4.333	  0.626
J2225+6535 	  19.028	  2.483
J2227+30   	   4.432	  0.911
J2229+64   	   1.174	  0.200
J2229+2643 	   7.719	  1.407
J2229+6114 	   8.283	  1.149
J2229+6205 	  17.403	  1.947
J2234+2114 	   5.100	  1.054
J2238+6021 	   4.367	  0.909
J2242+6950 	   1.842	  0.312
J2243+69   	   1.139	  0.191
J2244+63   	  15.731	  8.761
J2248-0101 	   5.574	  1.119
J2251+24   	   0.706	  0.624
J2253+1516 	   6.045	  1.376
J2256-1024 	  17.829	  3.525
J2257-16   	   0.627	  0.207
J2257+5909 	  95.594	  6.814
J2302+4442 	   5.407	  2.208
J2302+6028 	  15.199	  1.472
J2305+3100 	   6.058	  1.488
J2305+4707 	   1.389	  0.569
J2307+2225 	   1.433	  0.362
J2308+5547 	  61.977	  5.440
J2313+4253 	  15.428	  2.482
J2315+58   	  11.966	  2.359
J2316+69   	   0.875	  0.498
J2317+1439 	   6.777	  1.519
J2317+2149 	  14.625	  2.872
J2319+6411 	  23.005	  3.724
J2321+6024 	 109.550	  8.421
J2322+2057 	   1.368	  1.731
J2325-0530 	   1.357	  0.277
J2325+6316 	  22.426	  2.512
J2326+6113 	  13.414	  1.533
J2326+6141 	 204.846	 76.347
J2327+62   	   1.648	  0.359
J2329+47   	   0.632	  0.572
J2330-2005 	  13.598	  2.589
J2333+6145 	   1.909	  1.029
J2337+6151 	   6.903	  0.856
J2343+6221 	   1.937	  0.357
J2346-0609 	   7.699	  1.639
J2347+02   	   1.271	  0.368
J2352+65   	   2.318	  0.332
J2353-22   	   1.417	  0.290
J2351+8533 	   0.720	  0.134
J2354+6155 	   5.959	  0.670
J2356+22   	   1.192	  0.284

