#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T11:47:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e454ee2181	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/591/A134&tab:{J/A+A/591/A134/obssum}&key:source=J/A+A/591/A134/obssum&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/591/A134/obssum
#-order=I
#-out=PSR
#-out=l_Flux
#-out=Flux
#-out=e_Flux
#

#RESOURCE=yCat_35910134
#Name: J/A+A/591/A134
#Title: LOFAR census of non-recycled pulsars (Bilous+, 2016)
#Table	J_A_A_591_A134_obssum:
#Name: J/A+A/591/A134/obssum
#Title: Observation summary, DM and flux density measurements (table B1)
#Column	PSR	(A10)	Name of pulsar as in ATNF catalogue v.1.51	[ucd=meta.id;meta.main]
#Column	l_Flux	(A1)	Upper limit flag on Flux for non-detected pulsars	[ucd=meta.code.error;phot.flux]
#Column	Flux	(F6.1)	Mean HBA flux density in 110-188MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_Flux	(F6.1)	? rms uncertainty on mean HBA flux density	[ucd=stat.error;phot.flux]
PSR	l_Flux	Flux	e_Flux
J0647+0913	<	   3.3	
B0655+64  	 	  51.0	  25.0
B0656+14  	 	  11.0	   5.0
J0711+0931	 	   3.1	   1.8
B0751+32  	 	  17.0	   9.0
B0809+74  	 	 300.0	 150.0
J0815+0939	 	   6.8	   3.5
B0823+26  	 	 520.0	 260.0
B0841+80  	 	   5.9	   3.0
B0917+63  	 	  22.0	  11.0
B0940+16  	 	  26.0	  13.0
B0943+10  	 	 440.0	 220.0
J0943+22  	 	   6.3	   3.2
J0947+27  	 	  10.0	   5.0
B1112+50  	 	  50.0	  25.0
B1133+16  	 	 940.0	 470.0
B1237+25  	 	 170.0	  90.0
J1238+21  	 	  27.0	  13.0
J1246+22  	 	   4.2	   2.1
J1313+0931	 	  48.0	  24.0
B1322+83  	 	  28.0	  14.0
J1503+2111	 	   4.6	   2.4
B1508+55  	 	 770.0	 390.0
B1530+27  	 	  33.0	  17.0
B1541+09  	 	 770.0	 380.0
J1549+2113	 	   7.2	   3.7
J1612+2008	 	   7.0	   3.6
J1627+1419	 	  78.0	  39.0
B1633+24  	 	  79.0	  40.0
J1645+1012	 	  69.0	  35.0
J1649+2533	 	  12.0	   6.0
J1652+2651	 	  20.0	  10.0
J1720+2150	 	   4.5	   2.3
B1737+13  	 	  81.0	  40.0
J1740+1000	 	   9.4	   4.8
J1741+2758	 	  30.0	  15.0
J1746+2245	 	   4.5	   2.3
J1746+2540	 	   3.7	   2.0
J1752+2359	 	   5.3	   2.8
B1753+52  	 	   2.4	   1.3
J1758+3030	 	  56.0	  28.0
J1806+1023	<	   3.2	
B1811+40  	 	  50.0	  25.0
J1813+1822	<	   2.5	
J1814+1130	<	   3.3	
J1819+1305	 	  13.0	   7.0
J1821+1715	 	  11.0	   5.0
J1822+1120	<	   3.1	
J1828+1359	<	   3.2	
J1834+10  	 	   5.2	   2.9
J1837+1221	<	   3.6	
J1838+1650	 	  26.0	  13.0
B1839+09  	 	 130.0	  70.0
B1839+56  	 	  76.0	  38.0
J1842+1332	<	   3.4	
B1842+14  	 	 110.0	  50.0
J1843+2024	<	   2.0	
J1848+0826	 	   6.5	   4.2
B1848+12  	 	  37.0	  19.0
B1848+13  	 	   5.7	   3.1
J1849+2423	 	   8.1	   4.1
B1852+10  	<	   5.4	
J1853+0853	<	   4.3	
J1859+1526	 	   6.7	   3.7
J1900+30  	 	   5.9	   3.0
J1901+1306	 	   6.5	   3.5
J1903+2225	<	   2.8	
B1905+39  	 	  46.0	  23.0
J1906+1854	 	  18.0	   9.0
J1908+2351	 	   2.3	   1.5
J1909+1859	 	   6.0	   3.1
B1910+20  	 	   3.5	   1.9
J1911+1758	 	   8.0	   4.2
J1912+2525	 	  18.0	   9.0
J1913+3732	 	   7.1	   3.6
B1915+22  	 	  12.0	   6.0
B1918+26  	 	  21.0	  10.0
B1919+21  	 	1300.0	 700.0
J1927+0911	<	   5.2	
B1929+10  	 	 540.0	 270.0
B1930+13  	 	   4.9	   3.0
J1937+2950	 	  12.0	   6.0
J1941+1026	<	   3.2	
J1941+1341	<	   3.6	
B1942+17  	<	   2.5	
B1944+17  	 	  41.0	  20.0
B1946+35  	 	 170.0	  90.0
J1947+0915	<	   3.8	
B1949+14  	 	   6.4	   3.3
J1951+1123	 	   8.2	   4.1
J1953+1149	<	   2.9	
B1953+50  	 	  48.0	  24.0
J1956+0838	 	   9.2	   4.8
J1959+3620	<	   3.5	
B2000+40  	 	  29.0	  15.0
J2002+1637	 	   1.8	   1.2
J2007+0809	 	  32.0	  16.0
J2007+0910	 	  26.0	  13.0
J2008+2513	 	   3.8	   2.1
J2015+2524	<	   2.0	
B2016+28  	 	 810.0	 410.0
J2017+2043	 	  14.0	   7.0
B2020+28  	 	 150.0	  70.0
B2021+51  	 	  59.0	  30.0
B2022+50  	 	  36.0	  18.0
J2024+48  	<	   2.7	
B2025+21  	 	   1.8	   1.2
J2027+4557	<	   3.1	
B2028+22  	 	   7.4	   3.8
J2030+55  	<	   2.1	
B2034+19  	 	  20.0	  10.0
J2036+2835	 	   9.6	   4.8
B2036+53  	 	   7.7	   3.9
J2040+1657	 	   9.4	   4.8
J2043+2740	 	 140.0	  70.0
B2044+15  	 	  33.0	  16.0
J2045+0912	 	   9.6	   4.9
B2045+56  	 	  25.0	  13.0
J2047+5029	<	   2.9	
J2048+2255	 	   3.3	   1.8
B2053+21  	 	  29.0	  15.0
B2053+36  	 	  29.0	  15.0
J2102+38  	<	   2.3	
B2110+27  	 	 100.0	  50.0
J2111+2106	 	   3.1	   1.6
J2111+40  	<	   1.1	
B2113+14  	 	   9.4	   4.7
B2122+13  	 	   4.0	   2.1
J2139+2242	 	  46.0	  23.0
B2148+63  	 	  64.0	  32.0
J2151+2315	<	   2.1	
B2154+40  	 	 190.0	 100.0
J2155+2813	 	   9.6	   4.8
J2156+2618	 	   2.9	   1.6
J2203+50  	<	   1.9	
J2205+1444	 	   4.6	   2.4
J2206+6151	<	   2.4	
B2210+29  	 	  17.0	   9.0
J2215+1538	 	   6.8	   3.5
B2217+47  	 	 820.0	 410.0
J2222+2923	 	   4.3	   2.2
B2224+65  	 	 160.0	  80.0
B2227+61  	 	  90.0	  45.0
J2234+2114	 	  13.0	   7.0
B2241+69  	 	  26.0	  13.0
J2243+1518	 	   2.5	   1.4
J2253+1516	 	   6.0	   3.0
B2303+30  	 	  70.0	  35.0
B2303+46  	 	  16.0	   8.0
B2306+55  	 	  99.0	  50.0
J2307+2225	 	   0.9	   0.7
B2310+42  	 	 130.0	  70.0
B2315+21  	 	  73.0	  37.0
J2319+6411	<	   2.3	
