#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-30T05:31:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e4bca03385ca	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/352/1439&tab:{J/MNRAS/352/1439/table7}&key:source=J/MNRAS/352/1439/table7&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/352/1439/table7
#-order=I
#-out=PSRJ
#-out=S1.4
#-out=e_S1.4
#Simbad=Simbad
#

#RESOURCE=yCat_73521439
#Name: J/MNRAS/352/1439
#Title: Parkes Multi-Beam Pulsar Survey. IV. (Hobbs+, 2004)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_352_1439_table7:
#Name: J/MNRAS/352/1439/table7
#Title: Results for 281 previously known pulsars
#Column	PSRJ	(A10)	PSRJ designation	[ucd=meta.id;meta.main]
#Column	S1.4	(F5.2)	? New 1400MHz flux density	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F5.2)	? rms uncertainty on S1.4	[ucd=stat.error]
PSRJ	S1.4	e_S1.4
J1146-6030	 3.60	 0.40
J1157-6224	 5.90	 0.60
J1202-5820	 2.00	 0.20
J1224-6407	 3.90	 0.40
J1225-6408	 0.38	 0.05
J1239-6832	 0.96	 0.11
J1243-6423	13.00	 1.30
J1253-5820	 3.50	 0.40
J1259-6741	     	
J1302-63  	 0.10	 0.02
J1302-6350	 1.70	 0.18
J1305-6455	 1.60	 0.17
J1306-6617	 2.50	 0.30
J1316-6232	 0.74	 0.08
J1319-6056	 1.20	 0.13
J1326-5859	 9.90	 1.00
J1326-6408	 1.40	 0.15
J1326-6700	11.00	 1.10
J1327-6222	16.00	 1.60
J1327-6301	 3.20	 0.30
J1334-5839	 0.62	 0.07
J1338-6204	 3.80	 0.40
J1340-6456	 1.10	 0.12
J1341-6220	 1.90	 0.20
J1356-6230	 8.70	 0.90
J1359-6038	 7.60	 0.80
J1401-6357	 6.20	 0.60
J1413-6307	 0.90	 0.10
J1428-5530	 3.90	 0.40
J1430-6623	 8.00	 0.80
J1440-6344	 0.78	 0.09
J1453-6413	14.00	 1.40
J1512-5759	 6.00	 0.60
J1513-5908	 0.94	 0.10
J1522-5829	 4.30	 0.40
J1527-5552	 0.84	 0.09
J1534-5334	 6.80	 0.70
J1534-5405	 1.20	 0.13
J1537-49  	 0.31	 0.04
J1539-5626	 4.60	 0.50
J1542-5034	 0.55	 0.07
J1544-5308	 3.60	 0.40
J1549-4848	 0.47	 0.06
J1553-5456	 0.79	 0.09
J1559-5545	 0.72	 0.08
J1600-5044	17.00	 1.70
J1600-5751	 1.40	 0.15
J1602-5100	 5.70	 0.60
J1603-5657	 0.53	 0.06
J1604-4909	 5.50	 0.60
J1605-5257	13.00	 1.30
J1611-5209	 1.20	 0.13
J1613-4714	     	
J1614-5048	 2.40	 0.30
J1615-5537	 0.44	 0.05
J1617-4216	 0.28	 0.04
J1622-4332	 0.53	 0.06
J1623-4256	 1.30	 0.14
J1627-4845	 0.48	 0.06
J1630-4733	 4.00	 0.40
J1633-4453	 1.90	 0.20
J1633-5015	 5.70	 0.60
J1637-4553	 1.10	 0.12
J1639-4604	 0.78	 0.09
J1640-4715	 1.20	 0.13
J1644-4559	     	
J1646-4346	 0.98	 0.11
J1651-4246	16.00	 1.60
J1651-5222	 2.90	 0.30
J1653-3838	 1.30	 0.14
J1700-3312	 1.20	 0.13
J1701-3726	 2.90	 0.30
J1701-4533	 2.50	 0.30
J1703-3241	 7.60	 0.80
J1703-4851	 1.10	 0.12
J1705-3423	 4.10	 0.40
J1707-4053	 7.20	 0.70
J1708-3426	 1.50	 0.16
J1709-4429	 7.30	 0.70
J1713-3949	 0.35	 0.04
J1717-3425	 3.30	 0.30
J1717-4054	     	
J1719-4006	 1.10	 0.12
J1720-2933	 2.10	 0.20
J1721-3532	11.00	 1.10
J1722-3207	 3.40	 0.40
J1722-3632	 1.60	 0.17
J1722-3712	 3.20	 0.30
J1730-2304	 3.70	 0.40
J1730-3350	 3.20	 0.30
J1732-4128	 0.63	 0.07
J1733-2228	 2.30	 0.20
J1733-3716	 3.40	 0.40
J1737-3555	 0.74	 0.08
J1738-3211	 2.80	 0.30
J1739-2903	 2.00	 0.20
J1739-3131	 4.90	 0.50
J1740-3015	 6.40	 0.70
J1741-3927	 4.70	 0.50
J1743-3150	 1.90	 0.20
J1744-2335	     	
J1745-3040	13.00	 1.30
J1748-2021	 0.37	 0.05
J1748-2444	 0.34	 0.04
J1748-2446	 0.61	 0.07
J1749-3002	 3.70	 0.40
J1750-3157	 1.20	 0.13
J1750-3503	 0.79	 0.09
J1752-2806	18.00	 1.80
J1753-2501	 2.30	 0.20
J1756-2435	 2.00	 0.20
J1757-2421	 3.90	 0.40
J1759-2205	 1.30	 0.14
J1759-2922	 0.56	 0.07
J1801-2304	 2.20	 0.20
J1801-2451	 0.85	 0.09
J1801-2920	 1.80	 0.19
J1803-2137	 7.60	 0.80
J1803-2712	 1.00	 0.11
J1804-2717	 0.78	 0.09
J1806-1154	 2.60	 0.30
J1807-0847	15.00	 1.50
J1807-2459	 1.10	 0.12
J1807-2715	 0.91	 0.10
J1808-0813	 1.80	 0.19
J1808-2057	 2.60	 0.30
J1809-0743	 0.29	 0.04
J1809-2109	 0.84	 0.09
J1812-1718	 1.00	 0.11
J1812-1733	 3.30	 0.30
J1816-1729	 1.20	 0.13
J1816-2650	 1.10	 0.12
J1818-1422	 7.10	 0.70
J1820-0427	 6.10	 0.60
J1820-1346	 2.00	 0.20
J1820-1818	 1.10	 0.12
J1822-1400	 0.80	 0.09
J1822-2256	 2.40	 0.30
J1823-0154	 0.78	 0.09
J1823-1115	 3.20	 0.30
J1824-1118	 1.30	 0.14
J1824-1945	 4.90	 0.50
J1824-2452	 0.18	 0.03
J1825-0935	12.00	 0.12
J1825-1446	 2.60	 0.30
J1826-1131	 0.71	 0.08
J1826-1334	 2.10	 0.20
J1827-0958	 1.80	 0.19
J1829-1751	 7.70	 0.80
J1830-1059	 1.40	 0.15
J1832-0827	 2.10	 0.20
J1832-1021	 1.30	 0.14
J1833-0338	 2.80	 0.30
J1833-0827	 3.60	 0.40
J1834-0010	 0.29	 0.04
J1834-0426	 5.00	 0.50
J1835-0643	 1.30	 0.14
J1835-1106	 2.20	 0.20
J1836-0436	 1.80	 0.19
J1836-1008	 3.70	 0.40
J1837-0045	 0.61	 0.07
J1837-0653	 2.50	 0.30
J1837-1837	 0.36	 0.05
J1841-0425	 2.60	 0.30
J1842-0359	 4.40	 0.50
J1844+00  	 8.60	 0.90
J1844-0244	 0.87	 0.10
J1844-0256	 0.46	 0.06
J1844-0433	 1.10	 0.12
J1844-0538	 2.20	 0.20
J1845-0316	 0.35	 0.04
J1845-0434	 1.60	 0.17
J1847-0402	 4.30	 0.40
J1848+0647	 0.17	 0.03
J1848+0826	 0.11	 0.02
J1848-0123	 8.60	 0.90
J1849+06  	 0.35	 0.04
J1849-0636	 1.40	 0.15
J1850+1335	 0.65	 0.07
J1851+0418	 0.66	 0.08
J1851+1259	 0.75	 0.08
J1852+0031	 2.20	 0.20
J1854+1050	 1.03	 0.14
J1855-0941	 0.48	 0.06
J1856+0113	 0.19	 0.03
J1857+0057	 0.92	 0.10
J1857+0212	 1.60	 0.17
J1857+0943	 4.30	 0.40
J1859+00  	 4.80	 0.50
J1901+00  	 0.35	 0.04
J1901+0156	 0.38	 0.05
J1901+0331	 4.20	 0.40
J1901+0716	 0.90	 0.10
J1902+0556	 1.20	 0.13
J1902+0615	 1.10	 0.12
J1902+0723	 0.17	 0.03
J1903+0135	 5.50	 0.60
J1904+0004	 2.10	 0.20
J1904+1011	 0.58	 0.07
J1905+0709	 1.80	 0.19
J1905-0056	 0.92	 0.10
J1906+0641	 1.70	 0.18
J1908+0457	 0.93	 0.10
J1908+0500	 0.79	 0.09
J1908+0734	 0.54	 0.06
J1908+0916	 0.23	 0.03
J1909+0007	 0.87	 0.10
J1909+0254	 0.63	 0.07
J1909+1102	 1.90	 0.20
J1910+0358	 1.50	 0.16
J1910+0714	 0.36	 0.05
J1910+1231	 0.28	 0.04
J1910-0309	 0.55	 0.07
J1912+1036	 0.22	 0.03
J1913+0936	 0.14	 0.02
J1913+1400	 1.20	 0.13
J1914+1122	 0.55	 0.07
J1915+07  	 0.21	 0.03
J1915+0738	 0.34	 0.04
J1915+1009	 1.30	 0.14
J1915+1606	 0.42	 0.05
J1916+07  	 2.80	 0.30
J1916+0951	 0.91	 0.10
J1916+1030	 0.22	 0.03
J1916+1312	 1.20	 0.13
J1917+1353	 1.90	 0.20
J1918+08  	 0.31	 0.04
J1918+1444	 1.00	 0.11
J1919+0134	 0.77	 0.09
J1921+1419	 0.68	 0.08
J1926+1434	 0.48	 0.06
J1930+1316	 0.18	 0.03
J1932+1059	36.00	 4.00
J1933+1304	 0.42	 0.05

