#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-04-19T02:15:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e1b0a1073a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=9	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/484/3691&tab:{J/MNRAS/484/3691/tablec1}&key:source=J/MNRAS/484/3691/tablec1&HTTPPRM:&
#-source=J/MNRAS/484/3691/tablec1
#-order=I
#-out=PSRJ
#-out=S843
#-out=e_S843
#Simbad=Simbad
#

#RESOURCE=yCat_74843691
#Name: J/MNRAS/484/3691
#Title: UTMOST pulsar timing programme. I. (Jankowski+, 2019)
#Table	J_MNRAS_484_3691_tablec1:
#Name: J/MNRAS/484/3691/tablec1
#Title: Flux densities and pulse widths for 205 pulsars
#Column	PSRJ	(A11)	Pulsar name (J2000)	[ucd=meta.id]
#Column	S843	(F6.1)	Flux density at 843 MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S843	(F4.1)	Uncertainty of flux density at 843 MHz	[ucd=stat.error]
PSRJ	S843	e_S843
J1042-5521 	   5.6	 0.6
J1046-5813 	   4.1	 0.3
J1048-5832 	  13.5	 0.9
J1056-6258 	  59.0	 4.0
J1057-5226 	  20.0	 2.0
J1059-5742 	   5.1	 0.8
J1105-6107 	   2.4	 0.2
J1110-5637 	   5.4	 0.4
J1116-4122 	   7.0	 4.0
J1121-5444 	   5.1	 0.3
J1136+1551 	  90.0	70.0
J1136-5525 	  14.0	 1.0
J1141-6545 	   8.5	 0.6
J1146-6030 	   8.5	 0.7
J1157-6224 	  34.0	 2.0
J1202-5820 	  10.1	 0.8
J1210-5559 	   4.9	 0.4
J1224-6407 	  19.0	 1.0
J1239-6832 	   3.5	 0.8
J1243-6423 	 119.0	 7.0
J1253-5820 	   8.3	 0.7
J1302-6350 	   4.7	 0.6
J1305-6455 	   9.0	 0.7
J1306-6617 	  13.0	 2.0
J1312-5402 	   3.7	 0.7
J1312-5516 	   8.5	 0.8
J1319-6056 	   4.4	 0.4
J1320-5359 	   7.1	 0.5
J1326-5859 	  36.0	 2.0
J1326-6408 	   8.2	 0.7
J1326-6700 	  25.0	 2.0
J1327-6222 	  72.0	 4.0
J1327-6301 	  15.0	 1.0
J1328-4357 	   7.6	 0.9
J1355-5153 	   4.3	 0.4
J1359-6038 	  40.0	 2.0
J1401-6357 	  20.0	 1.0
J1420-5416 	   4.6	 0.4
J1428-5530 	  15.0	 1.0
J1430-6623 	  33.0	 3.0
J1435-5954 	   4.7	 0.5
J1440-6344 	   7.0	 1.0
J1452-6036 	   4.3	 0.7
J1453-6413 	  53.0	 3.0
J1456-6843 	  90.0	30.0
J1507-4352 	   8.0	 2.0
J1507-6640 	   3.5	 0.3
J1512-5759 	  25.0	 1.0
J1522-5829 	  12.9	 0.8
J1527-3931 	   2.8	 0.4
J1527-5552 	   5.2	 0.5
J1534-5334 	  21.0	 2.0
J1539-5626 	   8.4	 0.6
J1544-5308 	  11.0	 1.0
J1557-4258 	  10.3	 0.6
J1559-4438 	  82.0	 6.0
J1600-5044 	  50.0	 3.0
J1602-5100 	  20.0	 1.0
J1604-4909 	  16.0	 1.0
J1605-5257 	  28.0	 3.0
J1613-4714 	   3.8	 0.4
J1633-5015 	  28.0	 2.0
J1644-4559 	1040.0	60.0
J1645-0317 	  80.0	10.0
J1651-4246 	  68.0	 4.0
J1651-5222 	   9.9	 0.9
J1700-3312 	   4.8	 0.6
J1701-3726 	  11.0	 1.0
J1703-1846 	   5.0	 1.0
J1703-3241 	  21.0	 1.0
J1703-4851 	   4.6	 0.8
J1705-1906 	  19.0	 2.0
J1705-3423 	  11.0	 0.8
J1707-4053 	  52.0	 5.0
J1708-3426 	   8.1	 0.7
J1709-1640 	  17.0	 2.0
J1709-4429 	  23.0	 1.0
J1711-5350 	   3.4	 0.4
J1715-4034 	   4.7	 0.7
J1717-4054 	   8.0	 1.0
J1720-1633 	   3.4	 0.4
J1720-2933 	   7.0	 1.0
J1722-3207 	  15.4	 0.9
J1722-3712 	   7.5	 0.6
J1739-2903 	  11.0	 1.0
J1741-3927 	  11.6	 0.8
J1743-3150 	   7.3	 0.6
J1744-1134 	   7.0	 3.0
J1745-3040 	  46.0	 4.0
J1748-1300 	   7.0	 1.0
J1751-4657 	  15.0	 3.0
J1752-2806 	 160.0	10.0
J1759-2205 	   3.7	 0.6
J1801-2920 	   6.3	 0.8
J1807-0847 	  37.0	 3.0
J1807-2715 	   2.8	 0.4
J1808-0813 	   4.0	 0.4
J1816-2650 	   7.4	 0.6
J1817-3618 	   7.8	 0.8
J1818-1422 	  26.0	 8.0
J1820-0427 	  27.0	 2.0
J1822-2256 	  12.0	 2.0
J1823-0154 	   2.0	 0.2
J1823-3106 	  11.1	 0.8
J1824-1945 	  24.0	 2.0
J1825-0935 	  24.0	 2.0
J1829-1751 	  21.0	 2.0
J1830-1135 	   3.0	 0.4
J1832-0827 	   8.1	 0.7
J1833-0338 	   8.5	 0.5
J1833-0827 	  20.0	 1.0
J1834-0426 	  35.0	 3.0
J1836-1008 	  14.0	 1.0
J1840-0809 	   5.7	 0.6
J1841+0912 	   5.8	 0.7
J1842-0359 	  21.0	 2.0
J1843-0000 	   9.0	 0.6
J1847-0402 	  12.7	 0.7
J1848-0123 	  30.0	 2.0
J1849-0636 	   4.9	 0.5
J1852-0635 	  11.0	 1.0
J1854-1421 	   4.0	 3.0
J1857+0212 	   6.2	 0.6
J1900-2600 	  38.0	 4.0
J1901+0331 	  26.0	 2.0
J1901-0906 	   7.0	 1.0
J1903+0135 	  19.0	 1.0
J1903-0632 	   5.5	 0.7
J1909+0007 	   3.2	 0.4
J1909+0254 	   4.2	 0.3
J1909+1102 	  10.0	 1.0
J1909-3744 	   3.2	 0.4
J1910-0309 	   5.1	 0.5
J1913-0440 	  21.0	 2.0
J1915+1009 	   3.7	 0.3
J1916+0951 	   5.9	 0.6
J1916+1312 	   5.3	 0.7
J1919+0021 	   4.1	 0.3
J1926+0431 	   3.5	 0.3
J1932+1059 	  60.0	20.0
J1941-2602 	   6.2	 0.8
J1943-1237 	   2.8	 0.2
J1946-2913 	   3.4	 0.4
J1949-2524 	   2.2	 0.6
J2006-0807 	   6.9	 0.8
J2033+0042 	   2.5	 0.5
J2046-0421 	   4.4	 0.5
J2048-1616 	  23.0	 6.0
J2053-7200 	   8.0	 2.0
J2116+1414 	   3.5	 0.4
J2144-3933 	   2.2	 0.4
J2145-0750 	  15.0	 3.0
J2155-3118 	   2.1	 0.3
J2222-0137 	   2.7	 0.4
J2241-5236 	   3.6	 0.6
J2324-6054 	   2.3	 0.4
J2330-2005 	   4.0	 1.0
J2346-0609 	   5.2	 0.7

