#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-09-05T09:24:45 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-05T09:24:45	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=J/ApJS/271/23/table3,J/ApJS/271/23/table1,J/ApJS/271/23/table2&-order=I&-out=PSR&-out=Smin&-out=S&-out=e_S&-sort=e_S&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3
#  3 catalogues with potential matches were examined.
#
#RESOURCE=yCat_22710023
#Name: J/ApJS/271/23
#Title: The Arecibo Observatory 327MHz (AO327) pulsars (Deneva+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/271/23	    IVOID of underlying data collection
#INFO	creator=Deneva J.S.	    First author or institution
#INFO	cites=bibcode:2024ApJS..271...23D	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/271/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22710023	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_271_23_table3:
#Name: J/ApJS/271/23/table3
#Title: *List of pulsar detections
#Column	PSR	(A11)	Pulsar Name	[ucd=meta.id;meta.main]
#Column	Smin	(F5.2)	[0.14/2.2] 6{sigma} detection threshold	[ucd=phot.flux.density;em.radio.200-400MHz;stat.min]
#Column	S	(F5.1)	[0.4/223.3] Uncalibrated flux density (2)	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S	(F4.1)	[0.2/28] Uncertainty in S (2)	[ucd=stat.error]
#PSR|Smin|S|e_S
J1238+2152 | 0.23|  7.7| 1.0
J1246+2253 | 0.24|  3.4| 0.5
J1246+2253 | 0.23|  2.1| 0.4
J1313+0931 | 0.25|  9.5| 1.2
J1354+2454 | 0.35|  1.5| 0.3
J1411+2551 | 0.45|  2.4| 0.5
J1503+2111 | 0.35|  1.1| 0.4
J1503+2111 | 0.45|  1.9| 0.5
J1503+2111 | 0.71|  2.0| 0.8
J1549+2113 | 0.24|  3.5| 0.5
J1612+2008 | 0.24|  2.5| 0.5
J1612+2008 | 0.51|  1.5| 0.7
J1627+1419 | 0.61| 13.2| 1.7
J1630+3550 | 1.01|  1.8| 0.5
J1630+3734 | 0.92|  1.7| 0.5
J1635+2332 | 0.36|  1.4| 0.3
J1635+2332 | 0.36|  1.7| 0.4
J1640+2224 | 0.59|  7.4| 1.0
J1643+1338 | 0.38|  6.6| 0.9
J1649+2533 | 0.32|  8.5| 1.1
J1652+2651 | 0.37|  9.4| 1.2
J1658+3630 | 0.42|  5.5| 0.8
J1707+35   | 0.28|  1.1| 0.3
J1709+2313 | 1.32|  3.9| 0.7
J1709+2313 | 1.32|  5.0| 0.8
J1709+2313 | 1.02|  6.8| 0.9
J1720+2150 | 0.51|  0.7| 0.5
J1720+2150 | 0.69|  2.7| 0.7
J1722+35   | 0.31|  3.2| 1.7
J1722+35   | 0.32|  5.2| 2.8
J1738+0333 | 1.64| 10.6| 1.6
J1740+27   | 0.51|  1.5| 1.1
J1740+27   | 0.39|  2.5| 1.3
J1741+1351 | 0.91| 13.6| 1.8
J1741+2758 | 0.29|  4.9| 0.7
J1752+2359 | 0.42| 11.1| 1.5
J1756+1822 | 0.32|  0.5| 0.3
J1758+3030 | 0.29|  9.1| 1.2
J1758+3030 | 0.29| 19.6| 2.5
J1806+2819 | 0.89|  5.8| 0.8
J1821+0155 | 0.44|  3.5| 0.7
J1829+2456 | 0.26|  1.1| 0.4
J1834+10   | 0.54|  3.1| 0.9
J1838+1523 | 0.60|  4.9| 1.0
J1849+2423 | 0.53|  8.1| 1.1
J1849+2559 | 0.32|  1.3| 0.5
J1900+30   | 0.40|  4.1| 2.9
J1906+1854 | 1.17|  6.1| 1.1
J1908+2351 | 0.32|  0.6| 0.3
J1909+1859 | 0.40|  7.9| 1.1
J1911+1347 | 0.99|  3.0| 0.7
J1912+2525 | 0.26|  5.6| 0.8
J1913+3732 | 0.32|  7.0| 1.0
J1916+3224 | 0.14|  1.9| 0.4
J1923+2515 | 0.81|  6.4| 0.9
J1931+30   | 0.39|  3.5| 2.4
J1937-00   | 0.46|  0.7| 0.5
J1941+2525 | 0.38|  1.1| 0.5
J1946+2611 | 1.69|  4.5| 0.8
J1947+10   | 0.39|  2.4| 0.5
J1949+3106 | 1.39|  3.9| 0.7
J1949+3426 | 0.44|  6.1| 0.8
J1952+3021 | 0.81|  3.3| 0.9
J1952+3021 | 0.64|  2.7| 0.8
J1953+1149 | 0.35|  1.1| 0.4
J1953+2732 | 0.39|  1.2| 0.5
J1953+30   | 0.43|  2.6| 0.7
J1955+2930 | 0.49|  2.4| 0.6
J1957+2831 | 0.76|  4.0| 0.9
J1957+2831 | 0.81|  3.4| 0.9
J2000+2920 | 0.38|  2.9| 0.6
J2002+30   | 1.10|  3.4| 2.7
J2005-0020 | 0.35|  8.8| 1.2
J2006+22   | 0.26|  5.2| 1.2
J2007+3120 | 0.48|  1.2| 0.5
J2008+2513 | 0.31|  5.8| 0.8
J2008+2513 | 0.34|  2.7| 0.5
J2009+3326 | 1.58| 18.3| 2.4
J2010+2845 | 0.54|  7.1| 1.2
J2010+2845 | 0.46| 10.1| 1.4
J2011+3331 | 1.54|  4.6| 0.7
J2013+3058 | 0.35|  4.7| 0.7
J2015+2524 | 0.33|  4.0| 0.6
J2017+2819g| 0.54|  1.0| 0.6
J2018+3431 | 0.86|  2.2| 0.7
J2023+2853g| 0.43|  1.8| 0.4
J2036+2835 | 0.29|  4.0| 0.6
J2038+35   | 0.65|  5.5| 1.0
J2043+1711 | 0.63| 12.3| 1.6
J2043+2740 | 0.35| 44.5| 5.6
J2045+3633 | 1.74| 11.3| 1.5
J2047+1053 | 0.52|  5.2| 0.7
J2048+2255 | 0.28|  1.4| 0.4
J2053+1718 | 0.30|  0.8| 0.5
J2055+15   | 0.64|  7.0| 1.2
J2057+21   | 0.28|  1.2| 0.4
J2057+21   | 0.28|  1.3| 0.4
J2111+2106 | 0.21|  1.9| 0.4
J2116+3701 | 0.70|  5.7| 1.1
J2139+00   | 0.38|  5.5| 1.7
J2139+2242 | 0.33| 41.3| 5.2
J2151+2315 | 0.41|  1.7| 0.4
J2155+2813 | 0.26|  2.4| 0.5
J2156+2618 | 0.26|  1.4| 0.3
J2204+2700 | 0.32|  0.6| 0.3
J2205+1444 | 0.27|  3.7| 0.6
J2209+22   | 0.24|  1.9| 0.5
J2212+2450 | 1.15|  2.3| 0.5
J2214+3000 | 0.57| 10.3| 1.3
J2222+2923 | 0.28|  1.7| 0.4
J2222+2923 | 0.47|  1.9| 0.6
J2227+3038 | 0.31|  5.3| 0.7
J2227+3038 | 0.31|  9.4| 1.2
J2229+2643 | 0.75| 16.8| 2.1
J2234+0944 | 0.58|  6.9| 0.9
J2234+2114 | 0.56| 10.4| 1.4
J2234+2114 | 0.32|  9.3| 1.2
J2235+1506 | 0.41|  3.4| 0.6
J2243+1518 | 0.56|  1.4| 0.6
J2253+1516 | 0.26|  8.9| 1.2
J2306+31   | 0.26|  4.2| 0.8
J2307+2225 | 0.26|  1.5| 0.4
J2322+2057 | 0.42|  3.8| 0.6
J2350+31   | 0.30|  1.0| 0.4
J2355+0051 | 0.71|  2.7| 0.5
J2355+2246 | 0.36|  1.4| 0.4
J2355+2246 | 0.41|  3.0| 0.6
